Group	CAC	CDC	CWC	GCCC	GCMCC	CAG	CDG	CWG	GCCG	GCMCG	GCMCG
Trial2	24642.59238	339.854741	65.730652	69	2.800030084	17367.80384	316.753874	59.764048	70	4.030446258	4.030446258
Trial2	18388.87766	277.718214	67.006025	44	2.392750706	24807.23428	306.89258	59.447202	82	3.305487386	3.305487386
Trial2	15834.07779	367.942879	50.64284	41	2.589351937	26658.81467	353.788204	62.373536	77	2.888350474	2.888350474
Trial2	19570.40233	302.165409	76.799742	66	3.372439611	20938.83002	440.230508	60.876266	86	4.107201783	4.107201783
Trial2	20326.89655	381.075739	61.581834	40	1.967836059	18041.20376	341.40147	54.589508	52	2.882291044	2.882291044
Trial2	24238.97601	483.379129	50.267038	45	1.85651407	18843.0785	455.925454	43.004002	71	3.7679618	3.7679618
Trial2	21290.08839	492.514861	43.818719	61	2.865183031	18220.17768	418.955937	41.234616	65	3.567473443	3.567473443
Trial2	25973.45499	483.765958	51.252551	60	2.310050782	20386.60065	341.145689	63.796257	72	3.531731515	3.531731515
Trial2	22632.11563	531.310729	42.374816	41	1.811584947	15785.35861	333.106051	53.293412	50	3.167492183	3.167492183
Trial2	26163.39842	497.927988	56.568297	35	1.337746704	18403.43414	385.632843	55.507295	71	3.857975607	3.857975607
Trial2	23943.35611	436.993307	54.231125	44	1.837670533	19344.96355	329.632757	61.846111	90	4.652373718	4.652373718
Trial2	29473.71581	505.209879	64.932687	65	2.205354779	15646.75591	313.88318	55.620558	59	3.770749691	3.770749691
Trial2	21169.00323	422.660835	50.101271	57	2.692616151	14021.84001	338.002519	47.393884	63	4.492990932	4.492990932
Trial2	31593.86814	501.513698	65.9327	56	1.772495845	21754.07672	498.913191	50.768243	67	3.079882491	3.079882491
Trial2	29577.43442	486.982593	67.989508	50	1.690477926	43874.03235	527.054262	84.598748	79	1.800609512	1.800609512
Trial2	17054.07366	395.765851	48.685698	29	1.700473481	31194.76	519.894712	56.730653	84	2.692759938	2.692759938
Trial2	29626.93473	483.579225	66.605843	58	1.957678056	37048.35109	578.170325	67.770189	106	2.861125985	2.861125985
Trial2	25414.58699	476.132037	50.049855	51	2.006721574	28194.38053	499.005491	64.634346	68	2.411828128	2.411828128
Trial2	25379.46792	434.433962	58.398829	45	1.773086817	33458.05788	509.040593	65.992793	83	2.480717808	2.480717808
Trial2	22801.65707	417.202727	57.698631	54	2.368248932	41915.86414	578.708167	74.748141	81	1.932442565	1.932442565
Trial2	26599.0824	482.493998	48.954661	53	1.992549939	41214.32767	555.231912	70.08796	82	1.989599361	1.989599361
Trial2	23263.4665	416.666523	61.153474	60	2.579151305	25290.86111	495.751938	55.167425	60	2.372398462	2.372398462
Trial2	24006.71255	499.278383	50.062068	47	1.957785761	33122.4854	585.055949	61.991492	59	1.781267296	1.781267296
Trial2	19942.20506	363.239193	60.644006	49	2.457100399	38144.83513	526.240647	72.109941	91	2.385644077	2.385644077
Trial2	19964.08725	353.43166	55.720151	60	3.005396603	17962.96156	341.377883	57.652312	51	2.83917548	2.83917548
Trial2	12471.55794	356.016865	32.264149	28	2.245108441	28398.1886	415.30416	74.698966	94	3.310070276	3.310070276
Trial2	12936.46081	321.951201	44.905411	45	3.478540279	29607.11661	475.387083	61.941957	71	2.39807209	2.39807209
Trial2	16481.11923	372.042899	49.537377	42	2.548370618	24849.28282	381.416201	66.24288	87	3.501107079	3.501107079
Trial2	20058.61981	393.015766	45.624722	52	2.592401695	19255.356	328.923022	58.217526	62	3.219883341	3.219883341
Trial2	19370.6468	409.581393	43.345584	44	2.271478101	21879.50792	392.700007	58.663973	72	3.290750425	3.290750425
Trial2	18596.50531	345.870044	57.806319	54	2.903771386	21429.50639	350.801641	68.282761	75	3.499847296	3.499847296
Trial2	15584.2214	357.450289	48.146486	55	3.529210641	22926.17226	318.046145	69.80433	56	2.44262319	2.44262319
Trial2	16722.44032	392.175123	47.683979	52	3.109593994	27863.7461	476.339686	57.250851	59	2.117446799	2.117446799
Trial2	21628.88758	449.771495	58.559774	46	2.126785293	23394.60794	383.889308	74.919704	68	2.906652686	2.906652686
Trial2	21266.76045	451.269905	45.316741	49	2.304065074						
Trial2	36165.07377	512.775231	72.076717	60	1.659059246						
Trial2	28913.66819	443.837323	75.964	52	1.798457382						
Trial2	27368.12927	433.807935	71.794345	63	2.301947618						
Trial2	25272.32702	435.541206	52.317388	56	2.215862432						
