"Genus"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Lactobacillus"	31.6729192719189	30.4561824729892	58.2539494704455	44.3915407854985	43.3984681645556	51.4685613340322	21.6710057550014	9.5945754382649	23.6720534732211	17.0052888247819	16.4793004996431	5.09205983889528
"2"	"Streptococcus"	33.7779630401556	41.3115246098439	31.7969350925981	34.5691842900302	40.7739800140029	19.2203909692699	1.74020279528638	1.21910882200066	4.20001692190541	5.11024108798681	0.829764453961456	0.599716738957245
"3"	"Prevotella"	0.312630262609421	0.6062424969988	0.065084906218567	0.343202416918429	0.0318248361020941	0.487255644206317	10.1233214579337	4.08495959930067	13.0975547846688	10.8523937083591	9.4419164882227	2.44755244755245
"4"	"Phascolarctobacterium"	0.131999444212866	0.822328931572629	0.0887521448435004	0.403625377643505	0.0487980820232109	0.557140915885311	5.47341737462318	14.5773283560932	2.6888907691006	6.72024177484717	8.52739114917916	9.72603346021067
"5"	"Blautia"	0.503682089759622	0.62124849939976	0.366842198686468	0.304531722054381	0.0594063607239089	0.541610855512201	3.98191285283639	7.78717573122903	5.74837126660462	5.76550587265609	6.84778729478944	3.98557139063468
"6"	"Veillonella"	4.36640266777824	8.73649459783914	2.87852789775753	11.1419939577039	4.11601213587083	6.76334129248928	1.01808714716361	1.68690639323347	2.87333953803198	3.31616182430112	0.492951463240543	0.252279366203417
"7"	"Subdoligranulum"	0.159788800889259	0.369147659063625	0.147920241405834	0.159516616314199	0.0487980820232109	0.201890784850426	8.54480679638257	4.23144166706044	3.65343937727388	0.647022460333814	4.81798715203426	3.39691953616004
"8"	"Alloprevotella"	0.0868417396137279	0.309123649459784	0.00295840482811668	0.0894259818731118	0.010608278700698	0.0931803622386582	7.64524527267745	0.363842555403298	6.17480328284965	4.71735696132976	1.86473947180585	0.252279366203417
"9"	"Ruminococcaceae_unclassified"	0.142420452966514	0.270108043217287	0.0266256434530501	0.190936555891239	0.0127299344408376	0.248480965969755	2.99739654699918	3.45414166233521	1.81233606904137	1.86826018270486	5.41131334760885	17.7480747101
"10"	"Collinsella"	0.111157426705572	0.432172869147659	0.0710017158748003	0.149848942598187	0.0445547705429317	0.368838933861355	2.52808988764045	7.7659122052639	2.57382181233607	5.80534377361082	3.0870806566738	5.89979640612552
"11"	"Others"	28.7341948033903	16.0654261704682	6.30140228388853	8.25619335347432	11.4548193410137	20.0493079416846	34.2765141134557	45.2346075698152	33.5053727049666	38.1921835290885	42.1997680228408	50.5997167389572
