"Genus"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Lactobacillus"	21.5216649607642	37.1917693101875	33.1394650195871	47.495215580322	25.7327586206897	37.7476743205643	12.2507571933367	21.075845012366	10.5385026420471	20.6197785679184	13.3813365569075	17.6122367898292
"2"	"Streptococcus"	13.9315364494484	14.3724939374295	10.6299117979283	15.5831363278172	10.9782608695652	9.00199544700823	4.26552246340232	2.53091508656224	4.63100397791367	3.32437198277108	3.51089270228366	1.97854588796186
"3"	"Veillonella"	7.78118958262254	6.61480467718313	6.68605349804129	8.72734436564224	13.2308845577211	7.46465810404429	7.41418475517415	8.21929101401484	6.42997090779552	9.15792212297286	3.79470738180958	3.61144219308701
"4"	"Leuconostoc"	17.7140907540089	10.9510432423347	16.4675911461463	12.9967353371609	6.75787106446777	10.8737809505073	0.536345280161535	0.511129431162407	0.653090304577569	1.16208481484693	0.562373531653221	0.198649185538339
"5"	"Lactococcus"	17.6936199249403	3.75519220149343	17.8302771035113	5.72160306202859	12.0033733133433	10.0924650796774	0.448006057546694	0.523495465787304	0.706524965861189	0.910588847454687	0.72793209471001	0.572109654350417
"6"	"Enterobacteriaceae_unclassified"	8.68418059820312	0.950803140531585	7.7122737869211	0.143532590341101	13.7743628185907	0.668896321070234	12.6640585562847	2.36603462489695	15.5435492489461	2.31549735495621	6.61183086747431	1.64878823996822
"7"	"Megasphaera"	4.41715000568634	9.80815865927153	2.71335528371266	2.04322863897332	2.11581709145427	4.4321407492763	2.40408884401817	1.94971145919209	2.97452947812147	3.60766629086809	1.88158620870891	3.53595550258244
"8"	"Blautia"	0.49812350733538	1.48382914355687	0.242735946550025	0.287065180682202	0.766491754122939	2.86669851887243	3.82382635032812	7.90189612530915	5.30784302083952	10.0482756627063	3.20605471316322	8.54986094557012
"9"	"Prevotella"	0.379847606050267	0.324137434272131	0.0745031123074335	0.109760216143195	0.236131934032983	1.41648632697226	2.94043412417971	5.9563066776587	6.0054622098201	6.97539964732749	3.873544792789	5.4429876837505
"10"	"Phascolarctobacterium"	0.238826339133402	1.16209272731638	0.0552765026797087	0.0872453000112575	0.249250374812594	0.663275343582249	5.34136799596164	3.93239901071723	3.36044647628095	1.47717746364871	4.44642997923948	6.63090981326977
"11"	"Others"	7.13977027180712	13.3856755264232	4.44855680261482	6.80513340087808	14.1547976011994	14.771928838425	47.9114083796063	45.0329760923331	43.8490767677967	40.4012372445292	58.0033111712611	50.2185141040922
