"Genus"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Lactobacillus"	30.0317159418177	7.91985222433167	31.2627734052268	15.8981249618274	17.7679697351828	33.8533000554631	13.2465409539378	27.6355606444753	24.5374633737966	17.1674238140732	27.2367194780988	21.0725534618998
"2"	"Streptococcus"	41.9270168787139	69.3878598183591	29.0081314954124	41.3210773834972	5.2938209331652	34.4541504899242	1.62881662677331	3.57405741392001	2.15822519882796	2.6379925520092	9.97627721765653	0.613361330607283
"3"	"Prevotella"	1.07542561335715	0.146236338447329	0.117406618254555	0.650461125022904	24.8776796973518	0.150212608615271	21.3322435635472	5.34881818925329	16.8689828380075	19.000175476223	9.09938151317462	4.84886997844947
"4"	"Leuconostoc"	15.5517480223105	11.9682898045051	20.1852415532461	14.6246869846699	2.97856242118537	16.0011092623405	1.25226224531496	2.81889806711922	3.34533277521976	0.56932285675291	2.22612895026688	0.0967011106813284
"5"	"Megasphaera"	1.28504247019795	0.17958848581251	3.89181197547506	1.12685518841996	3.85372005044136	0.471436494731004	4.29972561153599	12.57599302091	2.96860611134366	3.88972294254129	2.43793950690502	1.49472288224568
"6"	"Veillonella"	0.772848237395647	0.772230488993791	6.25516371700657	9.13088621511024	1.11223203026482	5.03789979663524	5.2805184190554	1.34129385785557	2.69903725408121	1.54029129053013	0.616368719816996	0.185113554732829
"7"	"Bacteroides"	0.00364551055375305	0.0307865975678588	0.00869678653737444	0.0213766566908935	3.91424968474149	0.0184877056757256	0.420339774651176	2.41541942695128	0.575973210548347	1.3160716722884	0.633313564348047	25.5208045532409
"8"	"Phascolarctobacterium"	0.142174911596369	0.0205243983785725	0.136974387963647	0.439748366212667	3.08448928121059	0.0323534849325199	9.15114717730165	7.43981897985333	3.0188363331938	3.73179434186668	2.13505041091248	2.63855887716196
"9"	"Alloprevotella"	0.17316175130327	0.017958848581251	0.00869678653737444	0.0519147376778843	5.47540983606557	0.00231096320946571	4.99153482398272	0.643384858646166	4.50062787777313	3.88972294254129	0.828179276455139	0.566392219704923
"10"	"Ruminococcaceae_unclassified"	0.158579709088258	0.017958848581251	0.0543549158585903	0.0946680510596714	1.71752837326608	0.0231096320946571	1.7601728063518	1.99013113055805	1.57555462536626	1.45450291485504	3.35507921714818	6.96524285793225
"11"	"Others"	8.87864095366556	9.53871414644158	9.07074835848154	16.6402003298113	29.9243379571248	9.95562950637826	36.636697997548	34.2166244104577	37.7513604018418	44.8029791963189	41.4555621452173	35.9976791733436
