"Phylum"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Firmicutes"	74.336794264981	86.3518076768177	75.2599039390025	83.603234332303	68.6108213524423	66.3659807490263	54.4354029651098	68.7582272926722	60.318269051137	59.9661868571158	63.2998324958124	64.6310908342994
"2"	"Proteobacteria"	11.8529585315941	7.96183277053193	12.2408798485095	8.61107378040586	24.829243956642	25.8773838202676	7.07836361609631	7.11870531450843	14.1658599548241	14.0940763797816	2.61306532663317	7.22486070079653
"3"	"Bacteroidetes"	6.39665540922273	0.656773753833762	4.72529815276959	0.125431169645657	1.58283822395574	2.90993218648187	28.1016609073682	17.0766331982552	17.2789184966288	23.034018549827	26.5389447236181	17.5778766687858
"4"	"Actinobacteria"	5.38097450126175	2.54344930140339	7.07540662896126	4.15938717914259	4.52718944169804	2.43980091054771	2.19150596366068	4.11945383682214	3.16061208199589	1.7301584793566	1.80067001675042	7.04536105605624
"5"	"Fusobacteria"	0.659125434708918	2.39164782056445	0.368693645677882	3.45943645567352	0.132432309855322	2.10232518651371	0.254152268420466	0.844023436491753	0.986735958968088	0.911690815149552	0.971524288107203	0.755394338282039
"6"	"Bacteria_unclassified"	0.724410239670563	0.0666067722048391	0.186854942877566	0.0324777135689647	0.155109075241508	0.248331193157096	1.92843607178687	1.88679245283019	0.657257859071687	0.244908277899793	2.87479061976549	2.50551587449983
"7"	"Deferribacteres"	0.246073495624663	0.00309798940487624	0.0539245808304386	0	0.0698444373894508	0.0106124441520127	3.73425482109018	0.113568902769533	2.45749902345409	0.0126404272464409	1.12437185929648	0.0934893983022325
"8"	"Spirochaetes"	0.328934978845212	0	0.00627030009656262	0	0.0281191890788698	0.0244086215496291	2.25169992197079	0.0619466742379268	0.951070803824663	0.00316010681161023	0.707705192629816	0.134624733555215
"9"	"Chlamydiae"	0.0364088335363021	0.00464698410731435	0.052670520811126	0.00671952694530305	0.0390040364642387	0.00424497766080506	0.0133764351800245	0	0.0118883850478083	0.00158005340580512	0.0251256281407035	0
"10"	"Planctomycetes"	0.021343109314384	0.0123919576195049	0.00250812003862505	0	0.0117919180008164	0.00530622207600633	0	0.00258111142658029	0	0	0	0
"11"	"Others"	0.0163212012404113	0.00774497351219059	0.0275893204248755	0.00223984231510102	0.0136060592317112	0.0116736885672139	0.0111470293166871	0.018067779986062	0.0118883850478083	0.00158005340580512	0.0439698492462312	0.0317863954227591
