"Phylum"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Firmicutes"	95.0165870730196	94.6739186207604	95.1211027525329	88.1329017284554	55.858764186633	94.3566278424847	64.5192363827427	79.1963141680979	68.470489744663	60.2312386671606	71.4500550707447	55.7606233077306
"2"	"Bacteroidetes"	1.47278626371623	0.259120529529478	0.213071270165674	0.803151529957857	39.4401008827238	0.196431872804585	31.02632961644	12.8731495869796	25.272498953537	28.2731189923765	16.9384902143523	37.9786704978726
"3"	"Proteobacteria"	2.20188837446684	3.53019652111447	1.75240248728095	6.98405912172479	2.18158890290038	2.67840635977075	1.71930643937183	1.07412556909572	3.84763499372122	5.24283959523485	6.29500974328561	2.04453776869094
"4"	"Actinobacteria"	1.04626152892713	1.44183898609472	2.67426186024264	3.89360532584132	1.93694829760404	2.6483638380477	1.54124584038765	6.58924238706687	1.57388028463792	5.8609058472577	4.33152588325002	3.5917555395922
"5"	"Bacteria_unclassified"	0.00911377638438263	0.0102621991892863	0.0130451798060617	0.0366456971843889	0.340479192938209	0.00231096320946571	0.901979099772316	0.231727597393746	0.293009627459188	0.191074109458168	0.639667881047191	0.500082886666298
"6"	"Fusobacteria"	0.236958185993948	0.0846631433116117	0.221768056703048	0.143528980638857	0.126103404791929	0.117859123682751	0.128437153365637	0.0272620702816172	0.40351611552951	0.175476222971787	0.124968228416504	0.0635464441620158
"7"	"Spirochaetes"	0.00182275527687653	0	0	0	0.0807061790668348	0	0.052542471831397	0.00817862108448516	0.0753453327752198	0.0175476222971787	0.08896043378802	0.0414433331491407
"8"	"Deferribacteres"	0	0	0	0	0.0327868852459016	0	0.110922996088505	0	0.061950606948514	0.00584920743239291	0.131322545115649	0.0110515555064375
"9"	"Deinococcus-Thermus"	0.0145820422150122	0	0	0	0	0	0	0	0	0	0	0
"10"	"Lentisphaerae"	0	0	0	0	0.00252206809583859	0	0	0	0.00167434072833822	0	0	0.00552577775321877
"11"	"Others"	0	0	0.00434839326868722	0.00610761619739816	0	0	0	0	0	0.00194973581079764	0	0.00276288887660938
