"Phylum"	"DUODENUMCONTROL"	"DUODENUMGOS"	"JEJUNUMCONTROL"	"JEJUNUMGOS"	"ILEUMCONTROL"	"ILEUMGOS"	"COLONCONTROL"	"COLONGOS"	"CAECUMCONTROL"	"CAECUMGOS"	"RECTUMCONTROL"	"RECTUMGOS"
"1"	"Firmicutes"	86.5097236438076	90.0573843309563	88.5938138383523	95.0439040864573	77.917916041979	91.3830415109187	63.2035588086825	73.7180544105524	61.0283203704803	73.9166883473535	59.6194780963393	73.9928486293206
"2"	"Proteobacteria"	10.8290685772774	6.17541837739201	8.90192025763657	1.80682201958798	18.1821589205397	4.40403586183637	16.6046188793539	3.99010717230008	20.064715311999	6.55623970167375	11.8755420072005	4.72387763210171
"3"	"Bacteroidetes"	0.743773456158308	1.00842757329108	0.146602898411401	0.272993358099741	0.530359820089955	2.19218122031421	8.26918223119637	16.5127782357791	11.7704684438639	14.6937241638482	12.4168922292592	15.5423122765197
"4"	"Actinobacteria"	1.40793813260548	2.08888568753151	1.73039486649523	2.5526286164584	2.16454272863568	1.65256738146764	2.78584048460374	4.63314097279472	3.09030457756932	3.99502789581707	3.83675400099861	4.20341676599126
"5"	"Deferribacteres"	0.00454907312635051	0.0240101803164542	0.00480665240693119	0.00281436451649218	0.273613193403298	0.00562097748798516	6.57180716809692	0.136026380873866	2.33925072730511	0.306420374064117	6.83520353191601	0.385379419944378
"6"	"Spirochaetes"	0	0.00960407212658167	0	0.00281436451649218	0.050599700149925	0	2.3346794548208	0.012366034624897	1.18743691741376	0.00578151649177579	4.8406170341366	0
"7"	"Bacteria_unclassified"	0.036392585010804	0.0264111983480996	0.00720997861039679	0.0112574580659687	0.0131184407796102	0.0112419549759703	0.176678445229682	0.737840065952185	0.284984860179303	0.410487670916081	0.488791948072425	1.03694874851013
"8"	"Fusobacteria"	0.186511998180371	0.595452471848064	0.129779614987142	0.292693909715186	0.106821589205397	0.300722295607206	0.0157748611812216	0.234954657873042	0.0267173306418097	0.112739571589628	0.0210233095945129	0.0993245927691696
"9"	"Tenericutes"	0.259297168201979	0	0.478261914489654	0	0.361694152923538	0	0.0126198889449773	0	0.181084129905599	0	0.0262791369931411	0
"10"	"Chlamydiae"	0.00454907312635051	0.0120050901582271	0	0.00281436451649218	0.389805097451274	0.0505887973918664	0	0.0247320692497939	0.0118743691741376	0	0.00788374109794234	0.0158919348430671
"11"	"Others"	0.018196292505402	0.00240101803164542	0.00720997861039679	0.0112574580659687	0.00937031484257871	0	0.0252397778899546	0	0.014842961467672	0.0028907582458879	0.0315349643917694	0
