"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1589	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	1.57557853274249	1.49336722535547	0.517301642782244	0.074896466649044	7.67255216693419	2.6813880126183	0.152330659083985	0.418932168642481	0.279681515823423	1.64720652856246	0.425973543170482	1.10049373127704
"Otu019"	"Otu019"	1512	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.110782865583456	0.47660656128366	0.58720727018525	1.37897612124416	0.203317281968967	1.76130389064143	7.13923022240276	0.713076031731883	0.289760129006249	0.684243565599498	1.49477988785278	1.04709863530456
"Otu020"	"Otu020"	1378	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	0.0615460364352536	0.00794344268806101	0	0	0	3.44374342797056	0.203107545445313	6.84552990462608	1.13888328965934	0.00878844946641557	2.12367173704266	0.955564185066016
"Otu021"	"Otu021"	1363	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	2.09256523879862	2.71268567797283	2.71932890597693	0.145387258789321	0.321027287319422	0.131440588853838	0.0406215090890627	0.0713076031731883	0.0982664785325539	1.63841807909605	0.0867437033365346	0.943775657383779
"Otu022"	"Otu022"	1299	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.41555883801083	1.78727460481373	0.866829779797274	0.0660851176315094	0.299625468164794	0.630914826498423	1.60454960901797	0.294143863089402	0.881878653497279	0.919020715630885	0.875182006877536	0.899395317874182
"Otu023"	"Otu023"	1212	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.10782865583456	0.925411073159107	0.46836770360014	0.449378799894264	0.149812734082397	2.10304942166141	3.00599167259064	0.463499420625724	0.685345696432171	0.635279347143754	1.08429629170668	0.836292022633973
"Otu024"	"Otu024"	1155	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.30477597242738	0.969100007943443	1.57986717930793	1.00449378799894	1.04868913857678	0.814931650893796	0.203107545445313	0.0267403511899456	0.498891352549889	1.13245448838669	0.390346665014406	0.800232996782425
"Otu025"	"Otu025"	964	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptostreptococcus"	0.0615460364352536	0.00794344268806101	0.0209716882209018	4.07965459511851	0.0535045478865704	0.262881177707676	0.030466131816797	0	0.0201572263656521	1.18141870684244	0.0325288887512005	0.667091978253634
"Otu026"	"Otu026"	962	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	1.7725258493353	1.03661927079196	2.56553652569032	0.0969248391928804	0.224719101123596	0.0262881177707676	0.30466131816797	0.338711115072645	0.196532957065108	1.02322661644696	0.227702221258403	0.667091978253634
"Otu027"	"Otu027"	931	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	1.82176267848351	0.278020494082135	4.21530933240126	0.00440567450876729	0.52434456928839	0.0262881177707676	0.0101553772722657	0.0178269007932971	0.138580931263858	1.09353421217828	0.0913906874438489	0.644901808498835
