"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	10864	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	14.8663655882135	5.31605986151441	12.1152154793316	3.52284118573679	3.46682606096832	6.19802494802495	14.5838718014991	7.33254062623861	9.16813320698524	7.47929286685622	8.23597200846115
"Otu002"	"Otu002"	8652	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	10.542681572518	2.73248455066637	2.33619173262973	13.9553200630102	3.14497218262909	9.05015592515593	5.6216076505557	7.59512485136742	7.04785433870313	6.15376162415351	6.55435680872196
"Otu003"	"Otu003"	7446	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.79906715036648	19.4326557962922	1.23131046613896	9.30832020621509	0.478182904961148	4.46335758835759	12.2899974153528	1.84304399524376	7.40659266278598	4.21010700402467	5.64228147721328
"Otu004"	"Otu004"	6480	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	4.04975198045458	0.692427965155238	4.19415127528584	1.32464556780753	11.1085567152513	5.93165280665281	5.08529335745671	3.83967499009116	2.68715310680926	6.71831430886938	4.91216631159162
"Otu005"	"Otu005"	5553	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	1.79166358184645	3.32812150993969	2.07233948988566	2.18387512530431	6.17959446411329	2.7741683991684	3.65727578185578	9.14090368608799	2.31995397319616	5.74442658754687	4.21010333821088
"Otu006"	"Otu006"	5082	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	1.52513511512549	5.96381505472415	0.62664907651715	3.63024488042389	0.00459791254770334	19.2567567567568	2.94003618506074	0.163495838287753	2.75483958305131	4.74306671611654	3.85224834529974
"Otu007"	"Otu007"	4779	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.30991337824832	4.6831955922865	4.73834652594547	1.53945295718173	2.83691204193296	1.59823284823285	1.56371155337296	8.19460959175585	3.41478272641126	3.7897831073749	3.62176546850952
"Otu008"	"Otu008"	4682	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	1.48811727252536	3.79718561536743	6.40391380826737	2.45596448517829	3.45303232332521	2.00753638253638	1.43447919359007	5.84621482362267	3.75490726952755	3.38182167827365	3.54898140215471
"Otu009"	"Otu009"	4146	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.503442659361812	0.789218971037153	3.34212840809147	1.63969640555635	4.4048002206998	0.773128898128898	8.14810028431119	3.92390011890606	1.71077568701773	4.29939149187511	3.13957102890892
"Otu010"	"Otu010"	3890	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	1.08092100392389	6.60412478594297	1.41270888302551	2.25547758842904	0.556347418272104	1.31237006237006	8.35487205996382	3.31450653983353	2.71591985921213	3.13869314981937	2.94927102208542
