"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1407	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.24654377880184	4.75201246429499	2.35341045073793	1.54072468256426	0.924813836175835	0.988064184649435	0.338354950455168	0.801673056814221	0.653442240373396	1.20580087990875	2.47550651574241	0.822619796817405	1.7080236805643
"Otu019"	"Otu019"	949	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0.579935947372977	0.465363648451004	3.57695881077733	1.00888782128273	1.65994783021105	0.265850318214775	0	0.513418903150525	0.293302916734561	1.5409493008656	0.676526117054751	1.16765335684595
"Otu020"	"Otu020"	896	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	0.288018433179724	7.62572491993422	0.0265922084829145	0	0	0	0.00805607024893257	0.0348553502962705	0	0.0325892129705068	2.11167126414915	0.0134855704396296	1.12482680438342
"Otu021"	"Otu021"	870	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.576036866359447	0.545312905738769	0.0930727296902008	0.0541963456178383	0.0120105693009849	0.110663188680737	0.0161121404978651	0.383408853258975	0.0466744457409568	6.1349193416979	0.209264719870636	1.75761934729839	1.07948104295251
"Otu022"	"Otu022"	844	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.129836406128278	0.226033772104773	0.0154846701765252	0.0240211386019697	0.0237135404315864	0.0402803512446629	0.76681770651795	0.163360560093349	6.28157080006518	0.0856082944925331	1.81605681920345	1.02657765461645
"Otu023"	"Otu023"	785	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	21.4861751152074	0.96078940534926	0	0	0.996877251981744	1.71527942455142	0	0	0	0	1.3483306382574	0.487728130899937	0.987529915606499
"Otu024"	"Otu024"	625	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0576036866359447	0.0519345624513113	0.053184416965829	0	0	0.015809026954391	0	0.0348553502962705	0.0233372228704784	4.96985497800228	0.0261580899838295	1.38002337498876	0.784733593651593
"Otu025"	"Otu025"	444	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	0	0.0432788020427595	0.452067544209547	0	2.12587076627432	0.0237135404315864	0.56392491742528	0.0348553502962705	2.87047841306884	0.252566400521427	0.513649766955198	0.512451676705925	0.403073434941428
"Otu026"	"Otu026"	417	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	0	0.0519345624513113	0.279218189070602	0.921337875503252	0.396348786932501	0.324085052565015	1.31313945057601	0	0.700116686114352	0.0325892129705068	0.425663464282317	0.534927627438641	0.48746693538229
"Otu027"	"Otu027"	399	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.0576036866359447	0.00865576040855189	0.358994814519346	0.0232270052647879	0.0720634158059092	0	2.67461532264561	0	0.256709451575263	0.14665145836728	0.0903643108532293	0.811381821451047	0.488726539866482
"Otu028"	"Otu028"	353	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0	0.0259672812256557	0.0132961042414573	0	0.0120105693009849	0	0	0.174276751481352	0	2.79452501222096	0.0118900409017407	0.782163085498517	0.438342360498803
