"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1193	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.505634209765964	0.10477299185099	0.325781134310677	1.43437077131258	2.13607594936709	3.70312743114984	1.58940397350993	3.53941622615491	1.39677492618669	1.06666666666667	0.975683355546056	2.31089421558777	1.33464111815602
"Otu019"	"Otu019"	1127	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.288933834151979	0.535506402793946	0.0592329335110321	0.148849797023004	2.57120253164557	0.840205383538198	0.71523178807947	3.37853367042059	3.42947990006814	1.51578947368421	0.857494907838157	2.2534806947036	0.928293691105896
"Otu020"	"Otu020"	1029	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.231147067321583	0.407450523864959	0.636754035243595	0.446549391069012	0.365901898734177	0.653493076085265	0.370860927152318	3.87267294874741	1.81694299341358	4.37894736842105	0.412402243065859	2.48313477824028	0.931796686166672
"Otu021"	"Otu021"	1022	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.491187518058365	0.232828870779977	2.07315267288612	0.87956698240866	0.178006329113924	1.02691769099113	1.29801324503311	1.99954033555504	1.87372246195776	4.08421052631579	0.696557447129529	2.13865365293527	1.19627281325533
"Otu022"	"Otu022"	968	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.69344120196475	0.989522700814901	0.858877535909966	1.06901217861976	1.73061708860759	0.155593589544111	0.980132450331126	4.96437600551597	0.4883034294799	0.0140350877192982	1.11901828148968	1.501363571121	0.863488282481522
"Otu023"	"Otu023"	967	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	4.82519503033805	0.89639115250291	0.310972900932919	0.175913396481732	0.415348101265823	1.77376692080286	0.980132450331126	1.24109400137899	0.420168067226891	2.56842105263158	1.22463349007971	1.37505382517583	1.43797947244894
"Otu024"	"Otu024"	788	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.02571511123953	0.861466821885914	0.503479934843773	0.365358592692828	0.771360759493671	2.56729422747783	2.49006622516556	1.22960239025511	1.14694526459232	0.519298245614035	0.714159981894536	1.44682072628104	1.01586856762532
"Otu025"	"Otu025"	786	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.288933834151979	0.349243306169965	0.97734340293203	1.25845737483085	1.80973101265823	0.684611793994087	1.37748344370861	0.425189611583544	1.83965478083125	1.38947368421053	0.985741946840345	1.13104636141811	1.02812905033804
"Otu026"	"Otu026"	774	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.245593759029182	0.186263096623981	2.17681030653043	0.81190798376184	0.623022151898734	1.22918935739848	1.90728476821192	1.78119972420133	1.03338632750397	1.03859649122807	0.761938290542409	1.35208841682216	0.924790696045119
"Otu027"	"Otu027"	766	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.158913608783589	0.0232828870779977	0.22212350066637	0.108254397834912	2.80854430379747	0.0311187179088222	0.768211920529801	0.321765111468628	3.98591869180105	0.491228070175439	0.804687303543139	1.27745083967274	0.676078046729954
