"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1048	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	12.4058127018299	1.50959367945824	0.0619732275656916	0.043845226350981	0	0	0	0.0760167236792094	0.0855066267635742	0	2.82918585952193	0.034636832808008	1.94816163360297
"Otu019"	"Otu019"	833	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.0941872981700753	0.141083521444695	0.52057511155181	0.811136687493149	0.341502611490558	1.10391168706503	1.32009204311493	4.97909540098822	3.56277611514892	0.383877159309021	0.408841887214151	2.36569568078695	0.602466169929243
"Otu020"	"Otu020"	806	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.296017222820237	0.59255079006772	0.0991571641051066	0.263071358105886	1.96866211329851	1.53587712982961	0.847765532275645	4.58000760167237	2.16616787801055	2.01535508637236	0.528768840796969	2.11631048456929	0.773258760158405
"Otu021"	"Otu021"	803	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.46232508073197	1.26975169300226	0.545364402578086	0.559026635975008	0.441944556046605	2.78377729781617	1.96197166040935	0.798175598631699	0.954823998859912	0.623800383877159	1.06298890675679	1.43050119497073	1.30252810570372
"Otu022"	"Otu022"	796	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0269106566200215	0.0987584650112867	1.31383242439266	0	0	4.79961603071754	0.750878042872714	2.26149752945648	0.356277611514892	6.5978886756238	0.313445446864183	2.35876831422535	1.22370075636719
"Otu023"	"Otu023"	761	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.107642626480086	0.141083521444695	0.185919682697075	5.28334977529321	0.381679389312977	1.96784257259419	0.726656170521981	0.437096161155454	0.0285022089211914	1.43953934740883	1.45547711848238	0.786256104741782	1.38135545504026
"Otu024"	"Otu024"	722	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.484391819160388	0.239841986455982	1.09072880515617	1.81957689356571	1.56689433507433	0.0959923206143509	1.28375923458883	2.71759787153174	1.15433946130825	0.0719769673704415	1.04936084384966	1.16726126562987	0.934667142133218
"Otu025"	"Otu025"	702	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.134553283100108	0.0423250564334086	0.384234010907288	0.109613065877453	2.65166733627963	0.0239980801535877	0.823543659924912	0.475104522995059	5.44392190394756	0.935700575815739	0.506963940145548	1.78379688961241	0.551791445355755
"Otu026"	"Otu026"	659	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.107642626480086	0.352708803611738	0.966782350024789	1.44689246958237	1.68742466854158	0.719942404607631	1.34431391546567	0.304066894716838	2.25167450477412	0.407869481765835	0.89127531412685	1.14994284922587	0.910268200671909
"Otu027"	"Otu027"	634	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.121097954790097	0.028216704288939	0.037183936539415	0.0767291461142168	0.462032944957814	0.0719942404607631	0.0847765532275645	6.80349676928924	3.03548525010688	0.215930902111324	0.119926953582818	2.04357313567247	0.118241024004805
"Otu028"	"Otu028"	571	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	0.444025834230355	5.13544018058691	0	0.186342211991669	3.11370028123744	0.0239980801535877	0	0	0.0142511044605957	0	1.55087355883235	0.00692736656160161	1.06979974099585
"Otu029"	"Otu029"	554	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.390204520990312	0.634875846501129	0.570153693604363	3.11301107091965	0.0803535556448373	1.00791936645068	0.193774978805862	0.779171417711897	0.171013253527148	0.839731285988484	1.11204993322249	0.505697758996917	0.940297667085828
"Otu030"	"Otu030"	545	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae_unclassified"	0.0269106566200215	0.0564334085778781	0.123946455131383	0.0548065329387263	0.060265166733628	0.119990400767939	0.653990553469783	4.14291144051691	2.93572751888271	0.911708253358925	0.0654147019542642	1.80457898929722	0.22709783975526
