"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	2220	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.19373479318735	1.545156716053	0.247198417930125	1.26040263821265	0.522005220052201	0.920940250287794	4.54570439179904	0.777515103756238	0.334208641680592	1.14244867759371	1.46375334580193	1.31217757584363
"Otu019"	"Otu019"	1681	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.01125304136253	2.32751454696592	0.1318391562294	0.0656100003453158	0.3240032400324	1.29228712540384	1.49508052547683	0.856317310218019	0.891223044481579	0.842728332978016	1.12777323582444	0.993303043210753
"Otu020"	"Otu020"	1580	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	1.92366180048662	0.787247567356119	0.0494396835860251	3.53258054490832	0.3420034200342	0.0557020312674069	0.0824492936843841	0.162857893354347	0.163125646534575	1.85350070854391	0.114233237392346	0.934734251502674
"Otu021"	"Otu021"	1564	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.212895377128954	1.35445699476798	0.247198417930125	0.189923685210125	0.0900009000090001	0.397341156374169	2.1821579728467	0	2.67366913344474	0.482813107435322	1.31704203111176	0.923493776326376
"Otu022"	"Otu022"	1550	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	1.46745742092457	1.1148599090509	5.53724456163481	0.400566317897717	3.4740347403474	0.538452968918267	0.324300555158577	0.147097452061991	0.222805761120395	1.57886156431447	0.32254090557839	0.915211320933314
"Otu023"	"Otu023"	1504	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.266119221411192	0.537871008752628	0.016479894528675	0.0725163161711385	0.1980019800198	2.81109584462847	0.873962513054471	1.20304701864986	0.664438609055463	0.237017343650067	1.46935301430155	0.88799753892754
"Otu024"	"Otu024"	1483	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.0532238442822384	0.0733460466480857	0	0.00345315791291136	0.00900009000090001	0.230235062571948	0.604628153685484	4.37614919884423	1.80631813479749	0.0300974404635006	1.63398326819052	0.87734866770789
"Otu025"	"Otu025"	1468	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptoniphilaceae"	"Peptoniphilus"	0	0.00488973644320571	0	5.05197002658932	0	0	0.00549661957895894	0.0105069608615708	0	1.83594386827354	0.00335980109977489	0.867883004401534
"Otu026"	"Otu026"	1394	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.53193430656934	1.77008459244047	0.1318391562294	0.386753686246072	2.790027900279	0.304504437595158	0.225361402737317	0.630417651694247	0.0915095090315907	1.41081752172659	0.297902364180041	0.822921103696342
"Otu027"	"Otu027"	1386	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	1.58911192214112	4.0193633563151	3.77389584706658	0.117407369038986	0.2880028800288	0.122544468788295	0.0769526741054252	0.026267402153927	0.023872045834328	1.66288358560841	0.0649561545956479	0.818779875999811
