"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1309	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0944424264438794	0	0.491883915395967	0.63474791439971	5.13488857031148	0.933498554316398	0.561147234345774	4.23060618906316	4.42477876106195	1.05227956749526	2.15522804119454	1.5634345319266
"Otu019"	"Otu019"	1271	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	2.2012350163458	0.728566587597425	1.26250204951631	1.16068190061661	0.469177635866024	1.37959520859149	3.25109111962234	0.830860534124629	2.01880530973451	1.26184371864898	1.81452133288594	1.51797889901672
"Otu020"	"Otu020"	1211	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.84271703596077	7.24330735343951	0.163961305131989	0.852375770765325	0.377948651114297	0.627839735646427	0.15142068228378	0.483255616786774	0.110619469026549	2.35648199754765	0.397491159693364	1.44859924878586
"Otu021"	"Otu021"	1053	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.900835452233927	1.39783124364622	2.65617314313822	3.66340224882118	0.495243060080803	0.223048327137546	0.507704640598557	2.02628232301823	1.05088495575221	1.54051945156616	0.931781224995483	1.258403311084
"Otu022"	"Otu022"	1042	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.225208863058482	1.58420874279905	1.83636661747828	1.12441059122234	0.925322559624658	0.239570425444031	0.204863276030997	4.17125900805426	0.801991150442478	1.03221491472523	1.4789768474305	1.23926409722721
"Otu023"	"Otu023"	1030	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	3.34907373774065	0.042358522534734	3.75471388752254	4.4613710554951	0.834093574872931	0.0330441966129698	0.106885187494433	0	0.221238938053097	2.24055289265411	0.0619466742379268	1.23089069116486
"Otu024"	"Otu024"	997	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	3.4725753723211	1.08437817688919	0.0327922610263978	0.163220892274211	0.482210347973413	0.47087980173482	0.659125322882337	1.74650275540483	0.110619469026549	1.45803143462267	0.880158996463877	1.19021986171918
"Otu025"	"Otu025"	959	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	1.2713403559753	2.41443578447984	0.213149696671586	2.03119332607907	4.71784178287502	0.0413052457662123	0	0.0169563374311149	0.0829646017699115	2.11124735258054	0.0258111142658029	1.1447642288093
"Otu026"	"Otu026"	904	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.00726480203414457	3.08370044052863	0.196753566158387	0.870511425462459	0.0912289847517268	0.0247831474597274	0	3.40822382365409	1.82522123893805	0.963103332961766	1.21570348191931	1.08016938204263
"Otu027"	"Otu027"	818	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.167090446785325	0.906472382243307	1.06574848335793	0.562205295611172	0.156392545288675	1.05741429161504	1.30934354680681	2.32301822806274	0.801991150442478	0.530598595474306	1.4918824045634	0.976099906696333
"Otu028"	"Otu028"	789	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"	3.72684344351616	0.0169434090138936	0.672241351041154	2.01305767138194	0.899257135409879	0.00826104915324246	0.365191057272646	0	0.276548672566372	1.64084271541634	0.134217794182175	0.942606282446948
