"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL1"	"CONTROL2"	"CONTROL3"	"CONTROL4"	"GOS1"	"GOS2"	"GOS3"	"GOS4"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	7620	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.00602591141910214	0	0	0	0	7.73315632260206	31.5506467083273	8.52424080980288	0.00211806070361977	21.0498687664042	9.1358143103779
"Otu002"	"Otu002"	7337	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	18.1560711057547	15.8112168252379	12.7131585645202	6.64771188735445	0.64420218037661	0.464653169598407	2.63527588044373	6.59296750133191	13.2527058225489	2.98383754662246	8.79651831958565
"Otu003"	"Otu003"	4473	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	13.2073109664497	8.70450496309494	10.9260763606824	0.991080277502478	6.18984400929306	0.00484425713316863	9.66968566862014	7.10185753923707	3.09435004834922	5.36279493573758
"Otu004"	"Otu004"	4456	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.96565230491112	8.16224336504757	8.20819546958514	4.23774708908746	0.346878097125867	0	5.8518626168677	4.30207778369739	6.16991082964438	4.24920569139384	5.33641856896221
"Otu005"	"Otu005"	4378	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	6.22476649593251	1.53980971457186	1.06897429371341	0.196317357162199	0.0991080277502478	3.81679389312977	12.6628881461028	3.50293020777837	2.68781903289348	8.58958419671225	5.24889698829849
"Otu006"	"Otu006"	3178	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	17.6739981922266	0.413119679519279	0.343598880122168	0.318169509883564	0.396432111000991	0.0829737802854298	0.508646998982706	0.26638252530634	6.43890453900409	0.381268130957315	3.81018607327834
"Otu007"	"Otu007"	2073	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.00602591141910214	3.29243865798698	0.903537795876813	4.29190360140807	0.346878097125867	8.71224692997013	2.1314731385942	1.75812466702184	2.05240082180755	3.05014504765852	2.48537310569729
"Otu008"	"Otu008"	1961	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0	1.27691537305959	4.25044540595571	3.87219063092337	1.28840436075322	8.72884168602721	0.581310855980235	3.74267448055408	2.13500518924872	2.63296035364001	2.35109342029542
"Otu009"	"Otu009"	1849	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	5.73666767098524	0.237856785177767	0	0.00676956404007582	0.148662041625372	0	4.23388073438938	0	2.05875500391841	2.42298660035917	2.21681373489354
"Otu010"	"Otu010"	1672	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	4.95932509792106	0.85127691537306	0.445405955713922	1.46222583265638	0.842418235877106	1.60969133753734	0.755704112774306	3.46297282898242	2.41882532353377	1.46429064787954	2.00460387492806
"Otu011"	"Otu011"	1411	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	8.1530581500452	0.200300450676014	0.0127258844489692	0.0541565123206066	0	0.348489877198805	0	0.159829515183804	2.91868764958804	0.0911728139245752	1.69168425091118
"Otu012"	"Otu012"	1385	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0	4.54431647471207	4.23771952150674	2.72813430815056	0.0991080277502478	0.265516096913375	0.518335513249043	2.14437932871604	2.32774871327812	0.790164387346319	1.66051218108575
