"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL1"	"CONTROL2"	"CONTROL3"	"CONTROL4"	"GOS1"	"GOS2"	"GOS3"	"GOS4"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	6002	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	9.07733156322602	1.06338615512927	4.68167380196105	3.28496449521457	17.7509778357236	12.410986775178	15.8141962421712	2.72522944371605	4.28804950668457	12.3578964586571	8.46079025641749
"Otu002"	"Otu002"	5862	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	10.3717225356787	5.25437864887406	8.89379919900566	9.96603890089534	9.03520208604954	12.9196337741607	11.5170494084899	0.412062183929575	9.15114717730165	7.43436656579701	8.26343760131944
"Otu003"	"Otu003"	5827	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	3.76700962495851	20.0166805671393	9.87432675044883	17.7029947514665	0.332464146023468	17.1108850457782	2.03549060542798	0.45888743210339	13.9208360091074	2.8843270357951	8.21409943754493
"Otu004"	"Otu004"	5748	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.1861931629605	5.85904920767306	10.6477005938406	3.43933312750849	7.97262059973924	0.793489318413021	5.08002783576896	22.410563775988	5.25716620935256	10.7603391401543	8.10273615359675
"Otu005"	"Otu005"	2899	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	2.2402920677066	6.23436196830692	0.276204944068499	4.6928064217351	9.00912646675359	2.27873855544252	3.11412665274878	0.112380595617157	3.54369782240645	4.5936588424525	4.0866096223516
"Otu006"	"Otu006"	2867	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.55559243279124	2.85654712260217	6.62891865764397	1.41401667181229	2.05345501955671	0.488301119023398	2.69659011830202	12.8113879003559	2.91902621285539	5.07619748643712	4.03445213493283
"Otu007"	"Otu007"	2817	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.630600730169267	1.02168473728107	8.53473277171661	1.41401667181229	0.0130378096479791	1.52594099694812	0.713291579679889	16.5293126053568	2.72637048280694	5.13344783402852	3.97101735293703
"Otu008"	"Otu008"	2125	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.0331895121141719	6.00500417014178	7.19513879298439	5.24235875270145	0.0782268578878748	0.610376398779247	0.069589422407794	3.92395579696572	4.84558351333995	1.2676862680952	2.99553137202385
"Otu009"	"Otu009"	1570	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.182542316627946	0.145954962468724	0.0276204944068499	0.314912009879592	8.83311603650587	0.488301119023398	0.34794711203897	0.936504963476306	0.207250861112733	4.08658433521442	2.21316906074233
"Otu010"	"Otu010"	1539	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.248921340856289	0.208507089241034	1.56055793398702	0.518678604507564	0.104302477183833	7.10071210579858	10.9951287404315	2.99681588312418	0.648023819253897	3.59041465608898	2.16946954425633
"Otu011"	"Otu011"	1459	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.448058413541321	1.12593828190158	1.89200386686922	1.30287125656067	0.0521512385919166	0.183112919633774	0.0521920668058455	9.45870013111069	1.25226224531496	2.80799323900657	2.05669659848602
"Otu012"	"Otu012"	1361	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.0829737802854298	0.437864887406172	0.580030382543848	1.9265205310281	0.143415906127771	0.0406917599186165	0.487125956854558	8.70013111069489	1.10922996088505	2.67440909462665	1.91854973991739
"Otu013"	"Otu013"	1345	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae_unclassified"	7.40126120146034	0	0.0690512360171247	4.57548626119173	0	2.95015259409969	0.139178844815588	0	3.47947924572363	0.417109675308743	1.89599515076333
