"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1272	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	1.45972866220161	0	0.256334417825101	0.687313010430986	10.263053009167	0.0348280365694384	0.0440485512920908	0.220264317180617	0.0717213114754098	2.5667867012813	0.0860118546773621	1.25635833868339
"Otu019"	"Otu019"	1259	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0.0957956359765833	0.138026224982747	0.0242581062505054	0.149461937026704	1.05354810622551	5.24667188723571	0.0762453405625212	0.133196721311475	0.0858387069759652	2.27183485723902	1.2405550891402
"Otu020"	"Otu020"	1228	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	1.6142881676112	0.255455029270889	0.581681948141575	3.99450149591655	1.32522917497011	0.261210274270788	0.4796397807361	0.0084717045069468	3.02254098360656	1.68327610752868	0.792804921373946	1.21289940243963
"Otu021"	"Otu021"	1163	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	1.63146144599004	0.298030867482704	2.3365868086365	3.04034931673001	0.747309685133519	0.687853722246408	0.62646828504307	0.21179261267367	1.21926229508197	1.69793149652458	0.656307847646828	1.14771099807398
"Otu022"	"Otu022"	1133	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.240425897303795	0.0106439595529537	0	0.34769952292391	10.611797528896	0	0.0489428347689898	0	0	2.35114312034168	0.0186982292776874	1.11906760827695
"Otu023"	"Otu023"	1130	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	1.12825971261309	1.60701961944198	1.75466968545322	3.19848545237146	1.26251632564214	0.313234142521535	0	1.14754098360656	1.68955698852692	0.600213159813766	1.11412909279471
"Otu024"	"Otu024"	1125	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia_unclassified"	"Clostridia_unclassified"	"Clostridia_unclassified"	0.240425897303795	0.0319318786588611	0.295770482105886	0.0808603541683513	10.3826225587884	0	0.0195771339075959	0	0.21516393442623	2.30089607235575	0.0467455731942185	1.11017828040891
"Otu025"	"Otu025"	1054	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.240425897303795	2.40553485896754	1.35068520161688	0.202150885420878	0	0.905528950805398	0.425802662490211	2.8973229413758	1.19877049180328	0.841638053764341	1.21538490304968	1.03906365746457
"Otu026"	"Otu026"	1006	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.0686931135153701	0.117083555082491	0.049295080350981	0.412387806258591	0.129533678756477	0.0348280365694384	4.39506656225529	0.101660454083362	0.0204918032786885	0.175864667950758	1.71275780183617	0.987703096449207
"Otu027"	"Otu027"	998	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.532371629744118	0	0.187321305333728	0.485162125010108	0.169390195296931	0.339573356552024	0.533476898981989	1.9739071501186	5	0.265890628925551	1.62487612423104	0.983752284063411
