"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu001"	"Otu001"	21839	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	39.5428986033013	35.8251975825198	33.8215712383489	6.21312044429018	56.1293612062058	10.0215627887873	19.0148911798396	29.5739348370927	25.9792899408284	31.5552870090634	29.0482208180911
"Otu002"	"Otu002"	11589	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	10.1033919825866	11.0832171083217	9.3375499334221	21.4248524817772	1.50775730206133	22.0351165417394	26.1741122565865	23.6678653154626	14.1390532544379	16.4592145015106	15.4160292650482
"Otu003"	"Otu003"	11355	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	17.0687465989479	9.9116689911669	5.15978695073236	22.7351614022909	6.75941437832326	19.0163261115104	26.4146620847652	14.438269587011	14.6065088757396	15.4948640483384	15.0954439640838
"Otu004"	"Otu004"	5423	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	1.83203337565754	4.60251046025105	3.66178428761651	0.590072891357168	8.68963507902979	12.1675736728617	13.4364261168385	10.7660455486542	2.61538461538462	10.9703927492447	7.21383438643166
"Otu005"	"Otu005"	4467	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	14.2209323417377	2.24081822408182	7.55659121171771	11.5498090940646	0.852210648991187	4.08666187493582	3.10423825887743	9.4802222948676	8.31360946745562	4.002416918429	5.94080478882607
"Otu006"	"Otu006"	4048	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.1064756031199	2.00836820083682	0.099866844207723	13.1377993752169	1.53689270886445	19.8891056576651	1.03092783505155	0.14165849406124	5.31656804733728	5.4404833836858	5.38476887263053
"Otu007"	"Otu007"	2769	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	3.77290041719572	15.2301255230126	0.299600532623169	3.80076362374176	0.320489474834292	3.45004620597597	0.446735395189003	0.47945951836112	6.81065088757396	1.1190332326284	3.678084469571
"Otu008"	"Otu008"	2637	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	2.72084164701614	4.85355648535565	10.8688415446072	2.6032627559875	2.81885060820162	1.10894342334942	3.83734249713631	1.98321891685736	4.80769230769231	2.44592145015106	3.50781509810442
"Otu009"	"Otu009"	2353	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.707418828224197	8.31241283124128	15.878828229028	0.572717806317251	0.138393182314808	3.50138617927919	0.0343642611683849	0.39228506047728	5.77810650887574	0.964350453172205	3.12869970069837
"Otu010"	"Otu010"	1312	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	1.85017231997098	0.622966062296606	1.26498002663116	2.69871572370705	1.82824677689562	0.708491631584352	0.698739977090493	4.06450909883404	1.64497041420118	1.82235649546828	1.74260059860326
"Otu011"	"Otu011"	1031	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	1.16089243606022	0.353324035332404	1.14846870838881	4.33009371745922	0.240367106125719	2.38217476126912	0.469644902634593	0.5993243979514	1.98224852071006	0.872507552870091	1.3714665779847
"Otu012"	"Otu012"	829	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	2.01342281879195	0.99488609948861	0.765645805592543	0.216938562998959	2.51292883676888	0.328575829140569	0.217640320733104	1.56914024190912	0.855029585798817	1.30513595166163	1.10276022613901
"Otu013"	"Otu013"	553	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurellaceae_unclassified"	0.253945220388173	0.334728033472803	0.0166444740346205	0.468587296077751	3.0009469007211	0.0513399733032139	0.297823596792669	0.0544840361774	0.310650887573964	1.08277945619335	0.7356168939142
