"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu018"	"Otu018"	1055	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.81350729086723	0.0443262411347518	0.286478227654698	1.50515463917526	1.01061141990905	0.262191924488726	1.92529842125529	3.47476657605484	5.28471396485665	1.7051586445068	0.596536409744304	3.29002264870664	0.764992583174401
"Otu019"	"Otu019"	973	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0.0920951650038373	0.0591016548463357	2.21543162719633	2.65979381443299	0.530570995452249	1.67802831672784	0.885637273777436	6.2758539179766	0.687012815431365	0.733865745737103	0.791002023493548	2.67016330909524	0.826446280991736
"Otu020"	"Otu020"	880	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	7.168073676132	1.02689125295508	0.59205500381971	0.0206185567010309	0.265285497726124	2.72679601468275	0.346553715825953	0.449119489422054	0.290659268067116	2.15842866393266	1.731795127848	0.878134064449478	1.73765628311083
"Otu021"	"Otu021"	878	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.368380660015349	0.546690307328605	1.89075630252101	2.16494845360825	0.555836280949975	5.03408495018353	0.423565652676165	2.3519678524997	1.71753203857841	2.07209151737535	0.909258139962684	2.11387928636707	1.16338207247298
"Otu022"	"Otu022"	838	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.322333077513431	1.27068557919622	0.229182582123759	0.0824742268041237	1.4022233451238	0.734137388568432	0.269541778975741	4.04207540479849	1.40044920068701	1.057630045327	0.840932383780517	2.05825088409425	0.826446280991736
"Otu023"	"Otu023"	833	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	11.4198004604758	0.41371158392435	0	0	0.0505305709954523	0	0.0770119368502118	0.0118189339321593	0.211388558594266	0.215842866393266	2.11284261424855	0.115230261850836	1.72917991099809
"Otu024"	"Otu024"	793	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.0767459708365311	0.0369385342789598	0.171886936592819	0.206185567010309	0.61899949469429	0	0.154023873700424	5.80309656069023	2.86695732593473	0.0647528599179797	0.204977268546501	2.8410219732189	0.180122907395635
"Otu025"	"Otu025"	774	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	7.06062931696086	2.21631205673759	0	0	0.0126326427488631	0	0	0.035456801796478	0.132117849121416	0	1.99984232517804	0.0516549449676163	1.61262979444798
"Otu026"	"Otu026"	759	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0.168841135840368	0.598404255319149	1.35599694423224	0.88659793814433	1.81910055583628	0.524383848977451	0.924143242202541	0.449119489422054	3.8710529792575	0.949708612130369	0.91976979475994	1.62514403782731	0.906971816062725
"Otu027"	"Otu027"	734	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0	0.0812647754137116	0.53475935828877	0.0206185567010309	2.65285497726124	0	0.231035810550635	0.319111216168302	5.73391465186947	0.366932872868552	0.656978424828529	1.92315333571741	0.578512396694215
