"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu019"	"Otu019"	488	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.332278481012658	0.338771042893626	1.27364814538954	0.106439595529537	0.382459610946258	0.215665976535542	0.692599620493359	0.365785030951041	0.594076211491131	0.403781569700852	0.494703228749557
"Otu020"	"Otu020"	409	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0	0	0.0148964695367198	0	0.580283547642598	0	0	2.24395047833427	0.00424340151065094	0.790091821481956	0.4146180749151
"Otu021"	"Otu021"	406	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	0	0	0.0532197977647685	2.67062314540059	0	0	0	0.00212170075532547	0.786209306388679	0.411576866541639
"Otu022"	"Otu022"	311	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0.0158227848101266	0.0677542085787252	0.0446894086101594	0.106439595529537	1.78041543026706	0.0690131124913734	0.0284629981024668	0.0422059651097355	0.0487991173724858	0.557140915885311	0.314258198590907
"Otu023"	"Otu023"	201	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.0712025316455696	0.00521186219836348	0.0446894086101594	0	1.08803165182987	0.0431331953071084	0.0094876660341556	0.0984805852560495	0.0339472120852075	0.359132646128162	0.203760961021846
"Otu024"	"Otu024"	185	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.150316455696203	0.0886016573721791	0.0819305824519589	0.372538584353379	0.14507088691065	0.146652864044168	0.047438330170778	0.611986494091165	0.114571840787575	0.254304738609671	0.187541183030057
"Otu025"	"Otu025"	183	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0.953770782300516	0	0	0	0	0	0	0.388271238224561	0	0.185513710781084
"Otu026"	"Otu026"	179	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Clostridium_IV"	0.0474683544303797	0.0312711731901808	0	0	0.0461589185624794	0	0	1.12549240292628	0.0254604090639056	0.324190010288665	0.181458766283137
"Otu027"	"Otu027"	156	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0	0.0148964695367198	0	0.039564787339268	0.232919254658385	0.113851992409867	0.766741699493528	0.00424340151065094	0.298953662182362	0.15814283541994
"Otu028"	"Otu028"	146	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.0712025316455696	0.0416948975869078	0.0223447043050797	0	0.771513353115727	0.0345065562456867	0.0094876660341556	0.0211029825548678	0.0424340151065094	0.242657193329839	0.146991738050585
"Otu029"	"Otu029"	127	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.0316455696202532	0.0521186219836348	0.0521376433785193	0.106439595529537	0.586877678865809	0.00862663906142167	0.0664136622390892	0.0492402926280248	0.0487991173724858	0.201890784850426	0.128744487809823
