VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
31230.40715	19653.62836	36342.67045	20340.80386	7720.568959	21884.17883	13093.07189	12429.50495	9	14	8	5	10	22	7	20	0.288180681	0.712336661	0.220126917	0.245811328	1.295241329	1.005292461	0.534633893	1.609074543	24633.313	23575.04764	66258.79565	39986.35645	9310.984711	8243.209741	14787.6941	15011.23106	11	13	45	8	14	24	37	25	0.44654976	0.551430487	0.679155115	0.200068241	1.503600364	2.911487243	2.50208043	1.665419705
40899.58185	18210.52637	69958.27099	15321.58156	5635.932798	13837.17117	13605.14437	13221.06324	20	7	23	7	12	24	14	14	0.489002554	0.384393062	0.328767416	0.456871895	2.129195012	1.734458561	1.029022524	1.058916348	25118.31235	34213.07406	45796.46937	41115.63808	8123.906579	11767.93542	12028.11654	16967.43582	12	12	29	18	15	21	29	19	0.477739103	0.35074311	0.633236588	0.43778963	1.846402326	1.784510133	2.411017544	1.119792065
15781.06653	52090.92829	35592.07434	32661.1339	7443.582918	11286.44285	7084.782215	12172.08574	9	8	14	4	8	13	8	20	0.57030366	0.153577605	0.393345998	0.122469722	1.074751244	1.151824377	1.129180793	1.643103773	22918.95292	19143.67555	71767.77081	12819.95357	7853.15502	10006.2209	8574.32862	10446.55343	11	9	43	18	12	13	26	14	0.479952118	0.470129154	0.599154739	1.404061247	1.528048277	1.299191786	3.032307385	1.340154922
23901.96904	34023.21623	25588.53616	17392.57413	9164.236651	11624.86566	11561.70916	10265.30922	5	8	12	3	22	17	8	9	0.209187787	0.235133561	0.468960003	0.172487406	2.400636391	1.46238249	0.691939218	0.876739298	94302.40046	16964.21165	44231.39313	43217.7886	14084.89752	9545.266067	12717.3004	17877.88878	35	8	23	11	16	18	37	17	0.371146438	0.471581006	0.519992665	0.254524823	1.135968506	1.885751521	2.909422505	0.950895277
33950.84781	36234.89609	42462.03255	21404.5972	6185.982474	16174.08248	7832.992554	15446.72486	14	8	12	2	5	13	7	33	0.412360836	0.220781646	0.282605407	0.093437871	0.808279044	0.803755021	0.893655899	2.136375205	40214.16999	51438.12396	75381.74683	38855.44777	6668.976496	11549.86184	16228.18778	16312.61935	29	14	29	6	16	18	32	17	0.721138843	0.272171668	0.384708517	0.154418501	2.399168749	1.558460201	1.971877602	1.042137969
45218.35323	29805.33681	50333.16725	15655.87111	7536.704953	14096.58265	7407.401723	15422.61435	21	15	12	1	17	15	6	28	0.464413197	0.503265576	0.238411383	0.063873801	2.255627639	1.064087685	0.810000622	1.815515798	53428.67834	39613.07475	117493.5384	35512.26096	8026.35179	11747.37363	10050.52761	13148.60934	19	11	37	14	16	16	27	17	0.355614262	0.277686094	0.314910935	0.394230038	1.993433682	1.362006564	2.686426131	1.292912396
47584.58285	23713.20685	28383.08084	15725.44102	7451.206429	10600.31215	12546.66321	17410.13287	15	3	9	5	8	11	8	25	0.31522815	0.12651178	0.317090313	0.317956107	1.07365164	1.03770529	0.637619729	1.435945388	19807.20962	40637.45456	70435.14906	45090.15869	8540.147918	9988.163873	17652.73918	25363.22671	13	10	31	20	16	11	26	37	0.656326673	0.246078405	0.440121167	0.443555769	1.87350385	1.101303517	1.472859239	1.458804923
38033.1187	32989.22082	22813.40581	12741.48306	6596.519246	15505.56699	14883.45861	15862.30233	20	12	8	1	10	7	13	19	0.525857481	0.363755181	0.350671008	0.078483799	1.515951008	0.45145076	0.873452894	1.197808465	26304.49396	10236.22335	50408.55146	36521.15452	11060.38196	10945.52272	13287.21477	20318.76942	13	8	24	15	18	18	26	31	0.49421213	0.781538242	0.476109694	0.41072086	1.627430234	1.644508029	1.95676825	1.525682947
21354.91915	39141.85155	30465.70992	10068.01286	5825.239473	10608.96846	9214.85206	15479.9883	14	8	3	8	8	9	8	35	0.655586654	0.204384813	0.098471364	0.794595728	1.373334098	0.848338841	0.868163694	2.260983621	20034.90853	57204.52745	84456.63254	34904.29541	9487.757683	12908.6446	10964.49261	18759.58056	18	18	23	15	11	22	24	36	0.898431853	0.314660409	0.272329115	0.429746535	1.159388801	1.704284275	2.188883777	1.919019452
60842.78823	34779.56534	46399.41423	13036.62998	6691.17362	13666.1249	10748.67899	10330.35566	23	8	19	4	14	13	16	20	0.378023438	0.230020126	0.409487928	0.306827762	2.092308584	0.951257221	1.488555014	1.936041764	64553.64315	34295.04972	54084.64545	30740.25214	8265.922249	13204.74095	10449.08692	22335.71946	17	11	30	12	20	29	27	28	0.263346872	0.320746	0.554686081	0.39036765	2.419572723	2.19618091	2.583957833	1.253597407
