Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial2	29414.31912	10997.46782	6	13	0.203982284	1.182090297	26900.20758	8305.712146	8	13	0.297395475	1.565187882
Trial2	18331.10156	10193.8876	5	11	0.272760477	1.079078015	40192.90865	7408.978472	15	22	0.373200162	2.969370215
Trial2	36143.94513	17208.92908	7	18	0.193670059	1.045968632	34880.01568	10119.04871	13	12	0.372706254	1.185882225
Trial2	27760.92696	11774.27952	7	24	0.252152963	2.038341282	42205.08011	15467.821	9	12	0.213244471	0.775804168
Trial2	13772.3613	10097.99604	8	21	0.580873521	2.079620541	78400.36166	10537.95126	31	13	0.395406339	1.233636376
Trial2	22131.31751	10584.16794	8	24	0.361478705	2.267537717	26617.27156	9182.617844	11	10	0.413265499	1.089014067
Trial2	21462.14306	9238.145759	5	20	0.232968347	2.164936614	38772.52922	27528.93715	20	33	0.51582913	1.198738615
Trial2	23662.77033	11597.10804	3	17	0.126781436	1.465882696	23499.53924	11506.2718	13	16	0.553202336	1.39054598
Trial2	25550.16693	11489.09186	24	14	0.939328501	1.218547138	35534.64133	13029.13183	23	26	0.647255724	1.9955282
Trial2	32286.61718	16174.26999	6	29	0.185835511	1.792971184	44520.41267	14162.77145	24	30	0.539078561	2.11822948
Trial2	13880.5862	11004.53005	7	14	0.504301468	1.27220335	35404.59371	10346.50293	19	31	0.536653525	2.996181437
Trial2	25933.89861	10440.00443	11	22	0.424155279	2.1072788	23917.62243	10167.46387	13	32	0.543532286	3.147294194
Trial2	37391.71075	14547.99405	17	29	0.454646221	1.993401971	27702.62233	15006.15625	21	37	0.75805098	2.465654721
Trial2	23917.62149	14220.20681	8	30	0.33448142	2.10967396	31241.05479	13612.0137	17	26	0.544155763	1.910077419
Trial2	23139.99633	9593.848341	2	15	0.086430437	1.563501889	37768.57153	15375.07996	16	36	0.423632649	2.341451238
Trial2	27313.96555	15275.91882	10	42	0.366113078	2.749425452	43711.87907	8421.709679	23	24	0.526172759	2.849777648
Trial2	41254.52442	12095.20886	6	18	0.145438593	1.488192573	19488.91287	12305.65974	15	21	0.76966838	1.706531827
Trial2	42633.42966	16470.29547	12	28	0.281469262	1.700030218	13793.16843	11918.818	11	20	0.797496243	1.678018743
Trial2	25686.48186	8502.144596	6	22	0.233585901	2.587582433	42294.25907	16243.98682	27	30	0.638384513	1.846837253
Trial2	42424.91063	10170.19578	11	21	0.25928163	2.064857005	21104.47576	15397.36706	15	28	0.710749709	1.818492726
Trial2	39942.66159	19317.45429	12	30	0.300430655	1.552999663	40727.51211	11487.81984	14	28	0.34374798	2.437364128
Trial2	32582.49364	12919.75435	8	19	0.245530624	1.470616196	33971.62361	16185.65507	16	45	0.470981316	2.780239651
Trial2	37395.93177	14382.68201	9	25	0.24066789	1.738201539	36178.37419	17349.37376	7	22	0.193485754	1.268057297
Trial2	39776.3325	10904.69056	5	9	0.125702891	0.825332911	34664.2069	15432.34476	15	23	0.432723012	1.490376243
Trial2	30199.32645	7881.988162	8	14	0.26490657	1.776201602	16255.25891	8659.064894	14	16	0.861259736	1.84777458
Trial2	34495.56959	12798.21573	10	14	0.2898923	1.093902486	13124.49557	12012.95519	10	31	0.761934045	2.580547376
Trial2	25490.85117	17103.95287	19	34	0.74536546	1.98784458	38918.60387	23187.98754	17	32	0.436809091	1.380024892
Trial2	26851.04771	12330.77776	25	14	0.931062366	1.135370394	9990.1013	7785.495096	9	21	0.900891766	2.697323644
Trial2	34460.26072	19635.82048	29	33	0.84154906	1.680602043	43158.27684	10715.63828	7	20	0.162193686	1.866431049
Trial2	46196.27348	12965.0034	28	15	0.606109495	1.156960746	22842.60232	8231.611695	11	14	0.481556341	1.700760497
Trial2	23096.23463	10958.09808	12	25	0.51956521	2.281417798	34312.29029	15693.35251	19	32	0.553737446	2.039079921
Trial2	28989.51291	9996.141784	11	20	0.379447562	2.000771941	27379.23914	8705.831454	12	15	0.438288294	1.722983046
Trial2	30393.42527	6302.602899	16	14	0.526429643	2.221304471	25064.118	13316.07821	9	21	0.359079063	1.577040902
Trial2	27897.28574	10685.48976	13	10	0.465995155	0.935848541	39644.91649	8204.710595	17	25	0.428806553	3.047030082
Trial2	32806.8437	10781.21874	14	20	0.426740229	1.855077842	18985.85806	10848.29682	9	16	0.474037042	1.474885899
Trial2	21595.10411	11652.26969	17	21	0.787215469	1.802223992	29283.4967	13757.52644	13	24	0.443936055	1.744499645
Trial2	24442.51778	14000.26073	15	25	0.613684733	1.78568103						
Trial2	15885.90532	10784.62689	15	13	0.944233249	1.205419542						
Trial2	23094.84087	14978.33564	11	30	0.476296852	2.002892759						
Trial2	38061.12519	10102.84994	11	17	0.289008797	1.682693508						
Trial2	37976.15793	13759.42839	15	15	0.394984665	1.090161566						
Trial2	36590.59746	13138.88711	10	25	0.273294253	1.902748672						
Trial2	23849.16195	13309.54122	20	36	0.838603891	2.704826515						
Trial2	10128.90406	12560.27014	11	27	1.086001006	2.149635295						
Trial2	12187.35678	7006.884297	9	14	0.738470217	1.998034991						
Trial2	22295.14779	16739.55813	12	36	0.538233705	2.150594401						
Trial3	32782.2254	9986.360127	13	15	0.396556361	1.502048775	48315.13591	11525.61174	23	18	0.476041298	1.56173923
