Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial2	60516.80573	12274.55734	9	9	0.148719019	0.733223997	35213.55567	10726.33707	7	11	0.198787083	1.025513177
Trial2	19505.32028	11336.61175	7	14	0.358876445	1.234936885	46036.80286	12407.72125	6	22	0.13033051	1.773089479
Trial2	19087.97027	9515.390269	11	11	0.576279188	1.156021949	25291.39928	5847.168598	15	18	0.593086995	3.07841303
Trial2	35547.22139	14777.13637	16	33	0.450105504	2.233179634	18634.27678	10788.26897	7	29	0.375651821	2.688105022
Trial2	33005.78859	10467.39301	6	8	0.181786294	0.764278172	23663.88976	14131.70282	11	18	0.464843274	1.273731852
Trial2	29633.74471	12565.00226	7	16	0.236217193	1.273378203	43917.55175	16382.47463	8	25	0.182159517	1.526020981
Trial2	19653.62836	21884.17883	14	22	0.712336661	1.005292461	23575.04764	8243.209741	13	24	0.551430487	2.911487243
Trial2	18210.52637	13837.17117	7	24	0.384393062	1.734458561	34213.07406	11767.93542	12	21	0.35074311	1.784510133
Trial2	52090.92829	11286.44285	8	13	0.153577605	1.151824377	19143.67555	10006.2209	9	13	0.470129154	1.299191786
Trial2	34023.21623	11624.86566	8	17	0.235133561	1.46238249	16964.21165	9545.266067	8	18	0.471581006	1.885751521
Trial2	36234.89609	16174.08248	8	13	0.220781646	0.803755021	51438.12396	11549.86184	14	18	0.272171668	1.558460201
Trial2	29805.33681	14096.58265	15	15	0.503265576	1.064087685	39613.07475	11747.37363	11	16	0.277686094	1.362006564
Trial2	23713.20685	10600.31215	3	11	0.12651178	1.03770529	40637.45456	9988.163873	10	11	0.246078405	1.101303517
Trial2	32989.22082	15505.56699	12	7	0.363755181	0.45145076	10236.22335	10945.52272	8	18	0.781538242	1.644508029
Trial2	39141.85155	10608.96846	8	9	0.204384813	0.848338841	57204.52745	12908.6446	18	22	0.314660409	1.704284275
Trial2	34779.56534	13666.1249	8	13	0.230020126	0.951257221	34295.04972	13204.74095	11	29	0.320746	2.19618091
Trial2	32697.56125	7648.803372	4	10	0.122333283	1.307394048	22910.85735	8332.21554	5	6	0.218237141	0.72009659
Trial2	25449.40023	10839.1883	6	16	0.235761941	1.476125292	28394.80981	14246.15911	10	12	0.352177037	0.842332302
Trial2	42729.08732	13591.68275	11	15	0.257435875	1.103616107	30798.82664	13323.361	12	25	0.389625233	1.876403409
