Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial1	60705.49451	567.517507	100.306372	7075.734179	221.835956	32.143558	2.558275571	24627.6654	335.876675	70.926683	10085.70299	216.739324	42.085118	1.549680366
Trial1	39588.2332	414.832357	109.911005	5330.503711	214.796048	22.432703	1.931284867	25586.15508	314.701749	86.713717	5695.707642	167.095791	41.974116	1.883361317
Trial1	10793.03867	181.156119	67.004605	3890.009588	154.607288	25.604887	1.171717849	41221.98724	368.707709	96.878836	4897.222429	155.63498	38.146358	2.369054238
Trial1	24685.00486	311.253132	86.899413	4911.047373	200.308335	21.806011	1.553870097	7963.921366	164.556633	53.892875	4444.088083	156.56525	34.579543	1.051041869
Trial1	41501.31185	405.29985	100.902462	7817.03172	202.163726	40.354044	2.004809953	13643.72851	354.478978	125.808477	7466.645059	166.142939	26.761291	2.133578352
Trial1	45712.62363	481.732611	107.972412	6480.254965	195.647647	42.018329	2.462245871	41108.25103	575.895019	81.035995	8839.301966	228.154307	29.513715	2.524147041
Trial1	27983.28746	332.751582	89.978281	8574.122731	291.142613	27.460509	1.142916108	13901.8995	242.318723	57.24923	4771.770779	147.874475	26.806784	1.638678501
Trial2	27799.07783	248.746286	136.03663	14801.73584	272.178423	58.685895	0.91390891	24688.18171	299.615096	77.309364	9868.405991	342.385597	30.468684	0.875080899
Trial2	24091.55852	284.133281	94.21908	10756.9569	244.824897	39.631158	1.160557135	26391.71576	202.733743	138.793575	10453.03457	282.872756	49.055154	0.716695895
Trial2	16056.6351	269.336759	55.33426	14509.08197	325.862725	42.241923	0.826534422	27804.36619	270.327218	103.631953	13606.5213	267.154597	43.756978	1.0118756
Trial2	22004.82773	309.877093	86.070925	15578.2353	299.845931	51.764364	1.033454388	47024.41444	377.938509	136.911172	13586.16752	270.088404	32.736542	1.399314089
Trial2	27594.71845	214.899239	150.315911	8669.779409	238.681826	44.351086	0.900358618	42144.3606	260.349428	199.11253	15642.04159	342.348435	69.65035	0.760480848
Trial2	21097.0363	232.799794	116.799191	13927.57659	241.791521	43.452202	0.962812067	30542.84553	190.929578	168.786158	13799.03432	370.556298	34.801827	0.515251202
Trial2	17491.92974	283.855502	67.847908	10960.70887	248.682156	45.376209	1.141438962	43166.30652	295.320675	149.943094	13480.56338	297.827993	37.444172	0.991581322
Trial2	44693.28059	371.674029	109.49684	10437.14001	271.795079	51.875572	1.367478876	24321.2972	243.334475	107.61762	11181.95291	219.979949	50.227369	1.106166612
Trial2	48687.08271	423.861481	120.66134	14975.21376	305.339444	47.787178	1.388164842	34562.35643	231.456874	150.942637	13834.89136	355.438546	38.49162	0.651186757
Trial2	43171.1875	407.367382	108.542266	13345.94115	291.193749	35.976802	1.39895648	40158.35064	293.739195	148.238449	10080.45364	210.522594	39.961392	1.395285843
Trial2	30738.17401	335.431731	93.020966	12661.11105	204.551256	45.033997	1.639841952	12734.94219	166.539927	99.514147	9766.603283	270.501977	47.450795	0.615669907
Trial2	32457.38497	318.458998	115.054389	9615.001433	204.551256	46.29292	1.5568665	19745.0764	229.291898	119.899036	8040.370453	283.921862	27.050453	0.807588033
Trial2	28647.62564	357.3616	95.849568	9236.406355	192.324481	43.549235	1.858118104	17109.4607	221.217538	77.400826	10489.80183	245.614457	43.831821	0.900669858
Trial2	38654.21484	399.833856	112.426992	10219.63459	201.918372	47.872031	1.980175712	31911.17353	288.892403	108.651961	13196.9033	282.781252	39.768243	1.021610878
Trial2	62420.64442	413.26269	148.003093	16261.45309	257.542918	60.229262	1.604636203	22588.01447	238.817009	124.166347	11330.98613	290.094269	38.406318	0.823239321
Trial2	45564.74071	328.644567	122.847617	11671.88751	191.581982	49.424864	1.715425238	24762.02259	226.93288	98.444685	9817.90281	230.045443	29.170865	0.986469791
Trial2	57006.8213	327.774803	198.158298	11203.73414	251.269346	32.466355	1.304475887	25222.44294	240.720994	106.216593	9181.702317	266.869706	32.24324	0.902016934
Trial2	42420.95697	385.996867	104.770532	14364.23041	277.236303	52.39317	1.39230275	14413.46195	171.557252	86.024406	6316.634085	189.038292	36.041077	0.90752646
Trial2	23473.2149	235.090285	92.623047	14719.73558	271.714632	39.884108	0.865210251	35558.44046	315.439639	102.409044	14740.41734	268.24869	54.517838	1.175922384
Trial2	51092.01534	461.330923	117.249534	14794.00458	345.842555	47.062012	1.333933365	22303.45057	268.525808	82.749448	15533.52162	328.337511	43.161	0.817834694
Trial2	18696.75167	247.953766	82.972552	9377.876379	177.505733	53.510893	1.396877508	33289.88599	314.649921	116.726353	8764.640607	178.746364	42.480596	1.760315085
Trial2	38584.33657	319.068925	150.496864	11089.70439	257	38.7	1.241513327	27068.71466	253.145409	117.223324	12043.95523	281.847241	50.310417	0.89816529
Trial2	57844.84124	390.986525	136.925746	12032.62504	243.02165	41.176526	1.608854705	38909.18547	318.18638	140.021058	9022.755933	219.147507	37.542237	1.451927902
Trial2	22667.01654	257.955126	98.916144	10676.46725	282.730088	39.726637	0.91237239	28258.33954	307.707404	90.47049	10324.92942	224.531749	48.70552	1.370440507
Trial2	37430.10811	342.202537	118.148292	10579.57592	240.909044	34.519894	1.420463638	35282.16027	333.510204	45.598591	11960.74243	288.554692	45.598591	1.155795464
Trial2	39022.95891	329.690744	130.830121	11763.6043	243.053377	43.231385	1.356454076	23265.01207	268.57633	98.300812	11321.85888	226.868102	44.543406	1.183843509
Trial2	38816.97301	310.47377	121.856315	13433.57452	231.031163	60.352177	1.343861001	25318.35708	297.720278	83.329591	9808.166351	280.8953	33.347689	1.059897684
Trial2	30818.46836	298.470147	108.196315	10225.53571	240.572823	40.294799	1.240664441	21487.31921	216	108	11806.72075	282.55208	38.57737	0.764460839
Trial2	33464.34092	367.651528	107.98583	8778.746407	173.833554	53.287522	2.11496296	28968.41737	279.931994	98.109313	8863.186613	237.525437	43.066183	1.178534803
Trial2	32380.19534	282.672724	131.932588	8925.736886	240.403699	33.904992	1.175825186	39374.92946	357.806523	125.415187	12585.98709	215.190205	49.939997	1.662745398
Trial2	36400.72578	267.101798	138.969357	8851.448075	237.056441	31.302774	1.126743475	28052.79355	265.805188	115.543905	11587.13403	310.223231	27.256414	0.856819095
Trial2	28101.94932	276.024427	101.617929	13811.12413	248.474193	48.693224	1.110877648	36256.97579	253.706349	166.949955	13950.0738	338.438591	31.867536	0.749637765
Trial2	46087.55567	397.560383	121.610018	10073.2746	180.1865	49.692173	2.206382737	45521.88023	301.55309	154.214068	20635.07772	408.394161	45.29505	0.738387369
Trial2	36322.89471	202.298146	211.187861	14107.53004	305.042521	44.409256	0.663180154	18803.96478	215.827713	97.621347	12175.87269	237.015444	53.665363	0.910606116
Trial2	33806.79552	244.032466	148.491026	11815.49459	252.764865	45.990144	0.965452481	46199.24609	381.582406	144.860973	12219.01759	304.618229	29.768864	1.252657818
Trial2	16883.70561	185.631071	88.342747	12756.4386	270.768298	41.54124	0.685571658	47339.32094	302.183617	176.509267	9968.319285	285.3854	33.765508	1.058861515
Trial2	27654.89277	216.573889	134.079675	11498.63739	229.101948	43.585928	0.945316663	23125.81048	262.598278	89.867948	10887.20176	313.080561	30.498163	0.838756252
Trial2	39865.12349	206.931752	209.998842	14750.76191	282.664016	55.47733	0.732076742	49121.95844	367.763622	152.983104	14478.16474	307.304999	42.750348	1.19673817
Trial2	39467.21636	397.057074	103.484674	19015.51611	325.321528	45.643577	1.220506606	41476.57122	355.9803	126.9867	14970.95328	258.360462	47.428323	1.377843565
Trial2	55667.57415	333.797583	184.490242	10022.86955	264.770564	25.273381	1.260705034	38281.80269	354.471389	91.956548	9071.884705	273.97722	25.510819	1.293798765
Trial2	48756.02221	345.59375	153.927397	11330.70358	219.257817	50.520169	1.576198079							
Trial2	60831.85758	474.683395	126.113727	13336.5463	284.703015	37.72743	1.667293179							
Trial2	56364.30575	384.198125	148.229864	10314.59532	319.574	42.218326	1.202219595							
Trial2	34978.76394	346.50391	109.953006	8124.678721	264.804551	36.572597	1.30852702							
Trial2	51534.32383	328.412783	178.96321	13836.36539	383.434632	34.025763	0.856502662							
Trial2	63303.54311	316.996355	227.157351	17765.04994	333.455319	41.607382	0.950641171							
Trial2	60044.14726	297.275533	238.856343	11930.35066	255.707517	44.950817	1.16256079							
Trial2	27598.72825	308.860477	98.142078	9951.488613	281.233774	37.455033	1.098233945							
Trial2	23576.65789	231.451868	107.033816	15510.60836	434.989081	18.686991	0.532086616							
Trial2	51459.47003	309.12981	149.071798	18433.23289	378.416569	42.794197	0.816903474							
Trial3	63506.93424	413.488078	183.830507	15916.31316	278.945035	53.211489	1.482328151	28958.69119	372.896138	76.283795	13009.63602	312.315481	42.256252	1.193972636
Trial3	24376.02557	258.921288	89.377633	12677.54319	221.946287	53.215077	1.166594366	53422.47879	410.006072	161.297795	7935.437075	244.271757	32.163914	1.67848333
Trial3	40780.07852	236.901068	178.092195	6658.972812	136.363486	51.356853	1.737276414	40220.14089	584.607694	69.178828	3777.416267	152	41.498462	3.84610325
Trial3	47795.87095	349.599115	145.890695	10379.92964	205.377041	50.202905	1.702230752	38299.4153	473.115817	89.413654	6924.783929	153.757251	37.615854	3.07703093
Trial3	74757.5519	476.697201	192.521837	12762.82364	267.804842	51.781389	1.78001711	39641.74833	393.075938	121.801526	8480.338145	230.746652	24.380166	1.703495737
Trial3	47002.80275	412.912539	146.706281	18313.90985	300.518138	41.485619	1.374002054	36773.27945	359.834646	115.493845	5850.915083	179.364683	41.826138	2.006162194
Trial3	58327.13859	377.328351	168.155819	14790.14743	254.108765	43.499186	1.484908838	79841.37668	584.042075	165.61208	9792.763094	225.539402	37.273953	2.589534555
Trial3	56550.61078	462.012128	141.991601	12326.41906	249.054979	50.517117	1.855060798	55338.77287	439.211976	145.9846	7782.295886	212.546009	39.064649	2.066432478
Trial3	19923.5966	204.276905	107.626823	10813.88458	234.375564	34.716182	0.871579364	38913.66375	362.197823	105.537656	12940.8726	251.990968	58.8	1.437344465
Trial3	39588.35666	316.928027	173.961813	7276.973523	230.605087	34.195169	1.374332332	52057.00129	384.842713	157.462773	7708.913056	253.540721	20.5	1.517873387
Trial3	43067.68275	289.982669	147.086811	11904.89704	276.514846	38.369188	1.048705605	77563.75811	704.054181	102.59787	12166.97384	258.390964	31.462874	2.724763165
Trial3	30556.05124	311.407524	90.602723	10226.59157	281.58681	37.549234	1.105902382	63679.23221	666.265267	85.698557	13104.63507	292.346295	37.568677	2.279027572
Trial3	15728.38791	218.358844	71.418024	10703.14544	244.816504	49.310006	0.89192861	77205.84586	806.174218	83.62379	10661.63646	206.849012	45.596674	3.897404248
Trial3	14516.19965	172.661249	84.728438	5389.73596	170.974267	27.957958	1.009866877	66339.95315	557.755493	120.862011	14129.56411	245.464033	58.771529	2.272249365
Trial3	44086.01915	262.722417	175.317214	10023.98376	265.343827	39.34611	0.990120705	58010.87328	631.020795	95.491241	19971.27263	390.608183	57.065291	1.615482784
Trial3	35314.15664	228.241852	156.338367	15397.72323	269.878791	55.777731	0.845719855	45522.98469	561.866089	81.590899	8640.485348	222.125222	35.963347	2.52950153
Trial3	46544.65006	269.70202	216.540649	11956.73305	262.931092	30.144	1.025751721	73430.47067	747.844394	90.375513	11690.70833	260.067832	46.347803	2.875574377
Trial3	24046.68483	206.207297	118.171378	12120.67214	253.274637	47.21377	0.814164811	55783.24618	558.787637	99.580191	13343.26485	278.586471	47.373476	2.005796028
Trial3	36960.77374	252.788027	188.127975	12547.61586	202.095251	58.244952	1.250836057	67852.03924	626.05204	105.831627	11507.51109	270.264319	37.524337	2.316443555
Trial3	23866.39819	261.440435	130.186072	11515.73156	251.888885	45.112219	1.037919696	64016.66813	598.408945	108.353157	12936.61838	210.905203	70.159915	2.837336095
Trial3	32569.86898	259.024376	125.61276	14948.32918	310.354096	42.774111	0.834609175	60890.62072	542.535175	152.131994	16034.2948	308.070338	60.158327	1.761075664
Trial3	36981.23898	323.021757	126.928984	15394.53137	285.71372	46.267965	1.130578388	72003.80152	549.781286	128.737648	18974.34355	265.980551	70.978248	2.066998072
Trial3	25746.53106	169.909951	152.596893	13244.66394	265.229772	56.585271	0.640614173	68606.85433	442.448831	182.64045	13876.15946	216.593604	67.806762	2.042760372
Trial3	60402.51378	448.936465	121.206923	12442.99135	233.209162	44.759402	1.925037855	63266.30976	438.65828	168.153851	11499.33832	253.136669	61.468966	1.732891097
Trial3	41494.41291	359.820697	141.885064	13533.56477	287.617708	47.213247	1.251038052	82068.21621	473.860804	162.496031	19822.99935	301.192591	72.56047	1.573281741
Trial3	38534.2713	358.486001	130.025113	16872.26511	231.088365	58.064743	1.55129403	92503.03157	618.978071	128.367278	13802.38797	211.15062	65.478283	2.931452775
Trial3	46357.78528	277.177591	189.276421	8196.282757	233.590392	32.205167	1.186596712	60347.43305	456.850014	147	8187.795182	182.583517	37.597287	2.502142699
Trial3	29698.22849	260.219512	125.427382	14576.51339	271.846469	54.341384	0.957229693	74048.98503	416.702743	212.369201	11026.76575	221.536209	46.478255	1.880969007
Trial3	41769.07096	283.609915	142.794106	15835.40473	334.352744	43.239798	0.848235644	61516.74254	501.9059	115.455186	25318.76142	350.952524	64.700409	1.430124777
Trial3	41454.00278	346.624484	127.938734	8949.271879	167.890181	52.466675	2.064590567	78661.1462	514.297029	161.349433	14515.30524	210.3259	74.124321	2.445238694
Trial3	48057.82333	398.061709	120.421996	12597.88552	262.198403	49.642334	1.518169846	66047.60899	562.940931	114.21465	6167.057298	160.75645	41.32747	3.501824847
Trial3	28179.81444	293.144317	98.088707	12118.2041	350.208235	22.890786	0.837057178	44919.11329	447.126653	99.068892	6134.779209	140.571832	40.983259	3.180769907
Trial3	22997.13784	269.803	91.733129	16509.99309	324.215757	54.083589	0.832171152	73126.48158	547.824887	123.555409	6523.543067	147.150109	44.380012	3.722898275
Trial3	36000.07136	270.796876	129.216614	22517.32309	355.621075	57.260716	0.761475894	59125.93811	407.642647	158.188308	8921.171675	195.68638	37.739928	2.083142664
Trial3	23614.38391	276.196656	90.399687	16407.47332	332.071222	44.514566	0.83173921	51868.83004	551.503309	102.017533	8020.674029	172.86604	40.415695	3.1903508
Trial3	31987.78827	337.540858	103.738074	11130.49218	248.855404	40.032337	1.35637343	52430.91986	491.533293	110.804055	8852.907578	203.306974	36.230092	2.417690271
Trial3	20469.83305	240.030774	85.647543	11303.12327	227.596864	49.836512	1.054631289	69261.67857	376.881903	179.084462	11761.32017	237.452506	46.529417	1.587188568
Trial3	14167.84777	176.237908	81.493219	8369.090155	204.325481	36.238174	0.862535143	46825.63115	537.777738	81.754051	10030.69921	214.882821	34.088731	2.502655799
Trial3	31712.04544	284.610781	122.862147	12721.78641	285.918998	54.485654	0.995424519	60143.75403	459.774045	124.765815	6161.419935	195.60462	30.806806	2.350527534
Trial3	34282.32288	221.511406	167.918418	11326.27347	253.457653	51.732048	0.873958247	64980.20694	512.693121	132.082223	8981.25928	190.720123	47.69219	2.688196258
Trial4	85472.05412	375.736711	232.010676	12391.96582	356.40199	28.168196	1.054249756	55576.3532	347.130613	154.978643	10932.82204	278.39024	49.377979	1.246920916
Trial4	22488.52691	202.601806	125.618814	14503.43457	277.67866	43.783904	0.72962685	36967.97978	333.146679	130.090942	9836.864575	236.811894	39.824545	1.406798761
Trial4	35802.72226	376.98593	109.626719	11878.39904	193.712802	50.29581	1.946107465	18402.54254	229.409648	92.991893	7841.026272	209.74843	44.665104	1.09373714
Trial4	35598.73431	349.092991	104.699748	10388.82871	133.678976	40.826	2.611427776	32529.29946	407.860838	90.403181	10989.39947	260.456823	42.37167	1.565944149
