Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial1	29443.28643	265.421695	124.450394	4823.969294	106.278738	41.9	2.497411053	33119.36316	383.667693	95.758944	3537.855147	109.177277	31.3	3.514171662
Trial1	32131.89618	285.579105	112.261826	7013.246082	182.183263	27.9	1.567537546	22362.31889	252.730936	96.700047	2255.841889	71.942278	37	3.512968216
Trial1	13191.15549	196.746697	71.747834	6004.13974	156.020082	45.3	1.261034442	27901.23172	408.4165	86.997655	3178.05637	140.068058	24.6	2.91584324
Trial1	17012.10735	193.852682	87.111913	5667.54975	186.448315	31.1	1.039712705	68469.97008	474.355022	145.045259	4866.498701	137.568806	24.3	3.448129237
Trial1	17559.02979	208.830108	80.859895	4354.783062	145.659658	33.7	1.433685283	67626.65756	387.60788	189.79856	4446.010343	106.081622	30.8	3.653864569
Trial1	18376.26055	179.440119	122.106416	6438.421098	208.062886	28.5	0.862432135	66594.45608	476.219189	127.214697	4557.707091	101.770664		4.679336562
Trial2	31299.88838	276.962459	116.15935	12514.04853	340.277782	40.6855	0.813930482	40162.10462	394.772855	120.911829	9104.82297	290.844702	29.201804	1.357332117
Trial2	47146.5038	371.922441	143.311823	10879.18311	273.494157	38.698151	1.359891725	41011.84627	326.51493	138.555107	8314.581271	240.505596	28.851156	1.357618847
Trial2	54838.89197	323.101362	175	9674.929948	268.859399	33.267977	1.201748435	33214.99971	276.709335	124.231051	15818.76037	276.814928	56.097774	0.999618543
Trial2	27782.92869	261.49092	99.122635	10746.83053	299.518819	40.479251	0.873036696	32644.28461	255.032817	139.710892	14763.18403	364.550163	34.447084	0.699582233
Trial2	53246.14591	433.450369	134.877309	9797.804063	283.568091	37.909124	1.528558335	24947.2869	193.36321	143.049494	4007.515701	183.483365	34.591924	1.053845999
Trial2	48879.96818	473.189658	103.206772	14842.10126	313.057685	44.721124	1.511509478	33101.47076	272.8	152.24	8094.07	299.43	19.92	0.911064356
Trial2	57161.64075	437.916054	126.036126	11528.49765	291.524603	36.583065	1.502158135	28420.04416	208.84	149.35	7251.83	210.11	38.24	0.993955547
Trial2	63616.79309	477.504405	127.300825	14316.79615	299.974575	31.967123	1.591816256	31404.34966	232.2	139.76	5086.59	211.72	18.95	1.096731532
Trial2	50786.27022	429.106638	129.937133	18248.87867	318.586785	65.131573	1.346906583	49672.07103	318.64	165.58	6367.26	153.04	41.51	2.082070047
Trial2	53983.401	344.576268	169.151397	12182.24248	327.937017	44.506383	1.050739167	33434.1442	266.05	143.57	8353.33	200.09	45.24	1.329651657
Trial2	32668.40502	319.44539	90.437091	17601.92651	259.976097	68.139811	1.22874908	47156.78632	439.151458	109.552404	9475.178653	196.138423	48.329945	2.238987401
Trial2	17734.9303	252.622583	76.021337	9285.646302	210.370479	44.54383	1.200846165	30850.22522	303.252983	103.875708	13312.97997	356.533284	31.672816	0.850560092
Trial2	22709.09181	269.856214	90.553206	14126.17904	265.546482	35.452023	1.016229671	26599.88415	257.372368	105.391343	10568.27835	224.497372	45.923994	1.146438222
Trial2	16219.42213	214.326856	80.794599	8329.608862	201.029512	41.570897	1.066146228	76224.6981	648.622557	125.07613	11364.60135	212.443941	45.189511	3.053146886
Trial2	17981.023	203.385708	109.611681	7759.218044	209.599733	32.837791	0.970352896	74152.21821	521.350153	164.540078	13657.66122	287.458442	46.451724	1.813653999
Trial2	26660.01874	279.042089	97.004652	13617.37838	285.302479	58.347466	0.978057008	48899.78815	417.96417	131.492633	9161.536274	239.520106	31.534956	1.745006618
Trial2	28552.83693	178.397156	174.030088	7590.490489	178.242357	39.233116	1.000868475	24964.4337	265.362138	87.3	10819.5934	337.467571	34.658369	0.786333742
Trial2	27389.56325	221.511208	156.661947	9261.407675	229.689111	42.832071	0.964395774	79175.34968	468.546739	187.348123	27070.66921	514.93257	58.776457	0.909918631
Trial2	28568.24108	262.801979	116.294717	12510.0548	226.429812	55.350261	1.160633296	67526.45878	435.690143	160.92041	11947.11891	320.949491	39.320317	1.357503767
Trial2	21937.94175	165.237815	146.323067	13036.46145	248.569193	39.67634	0.664755809	39862.58537	427.583662	91.041286	12562.04349	276.596268	38.90644	1.545876469
Trial2	23785.31513	191.667669	137.221803	11376.86795	248.064672	44.79799	0.772652016	36060.08419	314.280065	103.783908	8038.248195	234.214403	25.668013	1.34184773
Trial2	27659.86948	279.071762	101	6538.964257	212.480806	33.130529	1.313397512	53387.68035	490.701974	137.908245	10209.78037	280.37129	41.570897	1.750186241
Trial2	23447.46066	210.898405	121.474376	9397.835774	235.573	37.037354	0.895257118	20922.65597	235.292602	96.284405	12808.9839	295.34663	42.493374	0.796665945
Trial2	19114.18849	209.579651	102.988728	9830.980041	252.474371	34.636764	0.830102676	26600	251	114	8730	213	43.7	1.178403756
Trial2	32543.83428	267.296983	137.403892	8215.407862	230.751312	36.94495	1.158376872	20611.15882	257.14327	82.62252	10861.12407	234.017238	46.709152	1.098821917
Trial2	39796.82206	354.094843	103.028448	9367.32838	246.080237	36.306837	1.438940596	24244.1498	236.687625	118.28892	10547.89254	238.225794	47.408403	0.993543231
Trial2	28755.7794	261.127807	135.382972	12580.69086	243.725923	50.809427	1.071399397	28347.88523	269.12651	109.163915	7911.758559	231.894033	33.531815	1.16055815
Trial2	20339.83897	172.627477	123.13709	11978.72103	275.535113	49.555863	0.626517162	25847.60922	246.020493	105.412702	9885.632106	267.083105	35.620242	0.921138359
Trial2	47196.48553	306.970377	163.283007	15258.71087	410.769566	34.036121	0.747305551	23453.4327	241.111105	107.750504	9949.015222	258.708828	33.068395	0.931978653
Trial2	20551.32941	212.082238	102.966954	6665.543281	236.477103	19.206173	0.896840478	17938.36899	234.467797	85.052804	7522.624365	208.552171	30.195954	1.124264475
Trial2	26446.12925	204.595333	149.677292	10043.80048	241.005213	32.108867	0.848924928	31178.53641	371.039222	85.098817	10481.41978	252.385422	45.65355	1.470129372
Trial2	34986.51904	232.515784	177.621096	11428.88841	220.762145	48.157883	1.053241189	35858.35254	322.086932	113.369587	9773.603223	214.548505	37.587542	1.501231304
Trial2	53833.48689	304.164447	175.999141	9834.824776	238.262909	38.491358	1.276591679	34360.57717	307.446006	108.833477	12882.03938	306.030702	35.054502	1.004624712
Trial2	62886.13975	376.395886	212.98123	15134.08324	286.26442	56.474339	1.314853889	28361.91956	325.337322	96.423298	16988.41055	333.746197	50.647429	0.974804582
Trial2	69181.02659	417.251526	249.22969	19610.54365	320.282824	39.718881	1.302759607	18684.78422	229.49725	78.565524	15124.39917	331.440969	43.977493	0.692422698
Trial2	21617.75858	183.720589	128.805357	9841.32038	285.489415	29.856173	0.643528549	30999.67862	253.983241	129.475757	9257.287197	245.4254	37.145293	1.034869419
Trial2	56071.99032	289.33251	202.232913	10631.79874	175.855351	62.646257	1.645286927	23850.58736	200.653201	129.847967	9258.337302	204.985701	50.862669	0.978864379
Trial2	59697.55979	422.29043	147.402334	15307.85183	206.705196	70.027688	2.042959917	21650.60028	229.438888	101.292117	7780.909537	207.47217	39.562866	1.105877902
Trial2	37050.28006	317.81706	138.891018	15634.05636	283.341541	56.746071	1.121674778	31401.46578	221.128841	146.12766	17281.45565	335.733606	47.210961	0.658643749
Trial2	63403.17972	357.526998	172.681652	10142.80862	185.739663	58.418786	1.924882345	32833.47368	275.009083	118.969291	13394.58413	292.473246	45.624396	0.940287998
Trial2	37188.11538	320.104525	128.279924	14943.62769	388.240018	36.143892	0.824501623							
Trial2	38541.69909	303.184009	143	20120.82186	447.378911	33.338434	0.677689541							
Trial2	41924.87598	353.201283	115.420345	10016.48111	284.340431	33.40871	1.24217749							
Trial2	26640.67882	262.191364	108.995871	14283.39833	143	40.568496	1.833506042							
Trial2	37681.81996	262.59401	166.720197	25909.57898	466.804864	35.319668	0.562534863							
Trial2	12380.38895	145.849733	96.4	10581.55669	246.709406	35.724063	0.591180269							
Trial2	54858.10364	353.760876	150.531803	12515.94272	261.18061	36.77313	1.354468373							
Trial2	25695.15499	230.027851	120.391027	10148.91698	226.132592	37.561233	1.017225553							
Trial2	41998.19699	296.788006	116.634151	7639.119016	224.777916	29.63944	1.320361054							
Trial2	22455.86801	265.008536	93.921653	15896.67396	397.440836	44.625755	0.666787386							
Trial3	11838.31337	166.499015	77.022272	4943.769316	138.400712	38.83033	1.203021376	39799.55161	310.997403	147.145278	8184.640925	230.910233	36.578514	1.346832485
Trial3	27764.76731	256.096046	137.135623	8644.844016	171.012365	58.76589	1.49752941	58351.96698	416.00543	142.639444	6442.839321	188.781078	32.974899	2.203639445
Trial3	32468.08415	335.662147	100.541701	7569.823316	231.311367	32.913808	1.4511269	28146.13955	390.916471	119.680678	7888.738331	238.567249	34.378552	1.638600741
Trial3	35398.49846	185.107092	140.368104	5764.946375	144.072465	41.228369	1.284819358	52487.97215	244.052308	141.493266	11546.78344	245.214224	42.163004	0.995261629
Trial3	20836.27197	422.13185	114.078191	4986.994002	144.00945	60.613819	2.931278815	21382.69146	314.094475	105.940629	7068.082749	209.668758	27.469151	1.498050916
Trial3	53506.72636	226.080778	152.184282	14679.39141	256.836422	53.752023	0.880252015	58318.05704	422.433405	172.190597	8700.575201	158.666973	56.713948	2.662390269
Trial3	23422.11626	174.868739	123.121707	15585.96417	298.154372	42.845743	0.586504024	50658.96643	332.482394	172.864017	8480.103112	219.888119	38.539409	1.512052563
Trial3	11480.90988	315.330102	74.295749	7519.598813	191.786089	36.98248	1.64417609	43781.20538	293.407883	148.586206	5840.208927	202.263013	28.088505	1.450625493
Trial3	18556.23464	255.782534	76.730533	6664.882062	171.052776	39.395888	1.495342782	36066.7157	193.939768	202.453298	5239.042987	185.004364	26.281816	1.048298342
Trial3	25490.55748	318.995475	97.246564	10084.53853	226.305666	37.777452	1.409577942	40497.38792	358.684881	124.703485	7251.939052	257.15072	51.394027	1.394842997
Trial3	36815.89729	295.535519	119.312137	13120.96407	296.927894	42.874994	0.99531073	50660.26492	368.884192	140.632533	11907.5816	237.60023	53.684837	1.552541393
Trial3	29364.57339	288.872966	103.847751	9186.241488	229.219497	43.949324	1.260246051	29992.54619	246.855965	123.043999	9704.823284	229.009102	45.445337	1.077930802
Trial3	37194.35253	341.581898	193.124466	10448.33386	258.766762	39.228783	1.320037764	30150.40908	236.928483	131.666114	5660.055552	210.60106	23.56991	1.125010876
Trial3	34805.68737	217.422937	157.359036	7552.692931	190.939975	34.898424	1.138697839	26469.53075	273.883356	108.431529	7824.382045	225.371012	30.695922	1.215255474
Trial3	33048.5277	243.853198	138.380482	12307.97517	252.986342	54.928567	0.963898668	34249.13003	367.284303	93.247863	11893.00973	278.866676	56.387323	1.317060569
Trial3	34352.61054	290.479157	139.995301	13512.22066	263.197039	52.557604	1.10365663	30453.35208	260.121504	123.110035	8600.072122	251.000478	27.998398	1.03633868
Trial3	36672.64455	290.827557	117.271392	12056.322	254.300046	59.389418	1.14363942	40603.56814	316.867236	120.303552	7413.978986	166.159132	40.892869	1.90701066
Trial3	22520.25452	216.486758	115.184332	12316.84124	254.390069	49.966527	0.851003181	46883.95137	326.92023	147.12868	11517.00494	305.732636	48.657333	1.069301054
Trial3	45587.80334	263.719894	190.152037	9208.209592	214.235855	53.091096	1.230979259	52791.81889	399.426428	164.38749	13948.40311	274.096634	45.229417	1.457246746
Trial3	26844.50104	254.868177	123.517317	10174.06801	219.033939	47.94202	1.163601304	44483.49758	316.599496	163.917272	13413.67153	244.166225	50.943037	1.296655571
Trial3	34189.64774	258.472153	146.835548	15355.04617	292.692325	61.792877	0.883084833	41806.36685	360.627112	119.811394	4718.408505	111.309054	37.984498	3.239872221
Trial3	24770.43989	250.866681	113.946772	10324.25619	171.229021	61.164825	1.465094407	43929.18304	349.995357	131.661977	9458.788384	229.638181	40.332918	1.524116571
Trial3	60311.16515	385.257005	186.427591	9572.546902	198.801145	49.685101	1.937901339	30861.34056	256.58296	118.554638	7514.317543	169.010097	50.03263	1.518151664
Trial3	21972.81874	229.862858	97.764055	12315.20236	268.982179	51.961611	0.85456538	45418.1251	334.763028	110.064042	5449.297843	153.961233	33.435319	2.174333249
Trial3	25358.26143	259.270783	121.425452	8443.193552	267.845848	26.59491	0.967985074	40378.50878	255.983399	131.592424	7778.784872	229.729013	32.787707	1.114284154
Trial3	46700.12433	332.406952	156.861501	8600.69666	228.545798	31.63303	1.454443507	32291.54702	353.008625	152.135231	7632.911264	191.936534	32.266916	1.839194538
Trial3	31229.84722	244.359749	150.069622	12326.36727	216.845087	67.939424	1.12688626	37037.46304	300.788108	102.383868	12758.20956	267.836749	44.285359	1.123027774
Trial3	25754.9514	194.871748	149.127498	12116.76922	254.904126	58.236938	0.764490364	27250.82239	263.887052	100.944342	10459.82748	228.23949	47.757343	1.1561849
Trial3	41980.14035	295.335569	163.806005	9383.004504	255.563549	46.170659	1.155624776	27458.51713	312.818458	112.227397	7525.40197	254.641146	22.928335	1.228467838
Trial3	34644.45185	311.969594	130.178245	13784.97686	251.294971	59.45471	1.24144782	28463.09239	364.464351	74.510454	9425.162278	237.586671	53.138091	1.534026928
Trial3	30202.20388	210.496642	152.576467	11649.64866	212.39576	55.101419	0.991058588	46381.38723	376.179826	136.308664	10596.30316	216.230184	46.880749	1.739719308
Trial3	29505.57126	247.008598	127.303118	9898.443288	245.828102	40.072198	1.00480212	36121.26965	322.281154	133.250957	6669.199555	177.865616	38.540219	1.811936232
Trial3	41129.20834	256.771493	181.852879	12542.01643	183.234978	48.302568	1.401323567	49770.74004	338.487198	170.738202	11979.61318	259.718994	46.100974	1.303282416
Trial3	22868.12417	236.023643	115.374905	7734.508981	146.345357	41.522662	1.612785317	65420.71618	489.549346	133.370885	9606.515284	216.441862	44.736299	2.261805279
Trial3	29524.61519	253.588842	138.565624	7140.148649	194.81397	39.517126	1.301697419	43947.17497	325.974071	153.191745	8572.745586	182.51536	51.736617	1.786008975
Trial3	20005.12797	174.755789	126.431187	9209.123616	210.139796	43.686335	0.83161682	62360.55076	438.932606	165.663273	9794.90344	187.339129	48.56677	2.342984129
Trial3	46216.83809	217.672216	229.102008	9560.393235	247.567184	44.026608	0.87924503	33917.58714	271.436559	122.345689	11436.54424	215.031922	51.316335	1.262308203
Trial3	35866.12546	212.187196	141.868389	11320.22989	252.73565	51.542905	0.839561795	45505.80148	353.038229	139.40802	16731.07	307.975708	82.190539	1.146318427
Trial3	19689.22898	322.015008	105.002508	7162.166285	201.279396	45.024205	1.59984089	46773.09154	305.549869	153.88878	18238.91474	339.696315	48.901536	0.899479492
Trial3	16883.79557	216.74191	89.199255	9638.574892	230.667737	45.443659	0.939628198	86119.41664	491.561168	202.306748	16236.43974	284.125044	48.061527	1.730087433
Trial4	36057.80196	306.212758	136.618267	17580.18036	360.969295	54.132129	0.84830694	61274.79006	485.836167	138.247612	13276.75036	325.388788	37.173412	1.493094369
Trial4	25198.31631	184.673201	145.588824	14351.3392	230.508535	77.396884	0.801155588	45286.47176	320.835323	134.104116	12811.65706	242.890461	67.017343	1.320905406
Trial4	33153.82065	309.841754	106.193495	16968.75482	323.729357	67.604438	0.957101194	46094.09626	302.653193	180.814265	13197.3498	253.654658	50.029857	1.193170255
Trial4	44179.48112	253.618268	201.590332	16868.01453	309.997976	55.330669	0.818128787	35371.9342	370.103741	104.144598	12453.77655	264.134099	46.52663	1.401196371
Trial4	17399.95753	251.479569	79.494504	13668.48324	181.538577	64.083743	1.385267931	51384.7975	351.006526	138.80442	13606.65949	249.84523	58.895787	1.404895847
Trial4	17587.50365	217.416611	74.531945	14979.88331	305.566358	59.577599	0.711520118	44485.91364	305.584582	165.133369	11782.38016	252.532421	44.70951	1.210080594
Trial4	46096.94867	271.041437	165.449768	13701.63122	268.486709	58.822802	1.009515287	31540.54127	347.201361	101.034332	12701.28023	294.155311	44.089488	1.180333477
Trial4	53613.75341	375.523926	147.084959	22545.14443	399.934644	45.038979	0.938963232	41194.57651	401.984487	92.255523	10360.82318	265.255178	39.228599	1.515463299
Trial4	28643.53689	157.377973	186.395254	16785.46314	282.516478	69.014205	0.557057677	86622.92858	475.496305	169.923728	12027.24958	213.053847	53.21778	2.23181281
Trial4	31012.39683	322.084024	107.73413	13006.10309	263.347954	47.089614	1.223035984	54337.95096	422.058827	122.071987	19616.77184	315.669658	61.771453	1.337026909
Trial4	31063.12267	290.321777	111.167732	11883.33068	235.916426	46.247754	1.230612815	56957.87218	329.78841	198.027749	11541.00601	275.81595	41.631723	1.195682882
Trial4	28930.73668	281.053218	115.638332	16918.03202	311.23457	60.281534	0.903026993	42152.83607	355.235799	145.63301	15064.67808	303.73903	34.156529	1.169542811
Trial4	23210.0067	258.274476	104.798551	10232.01031	217.971169	41.181604	1.184902009	45023.01066	385.558025	139.643125	12128.51916	223.10441	51.968336	1.728150622
Trial4	39810.21854	348.956958	108.386183	11124.81725	232.252797	48.948881	1.502487645	57893.81323	384.387482	162.990829	18643.15306	294.744105	58.317645	1.304139677
Trial4	36538.24893	308.288469	121.201582	11701.10554	297.124884	43.404621	1.03757203	48909.28469	347.623811	138.987331	23761.0584	383.104593	56.281175	0.907386174
Trial4	27517.38386	249.199845	124.112236	16128.31301	243.655585	70.147213	1.022754496	43826.47565	339.299225	141.398097	19467.47377	290.211067	76.002566	1.169146403
Trial4	34404.21645	282.8877	135.795227	13407.1228	241.089297	56.257647	1.173373117	42580.12672	407.59686	128.166789	8644.975609	191.469273	51.46805	2.128784706
Trial4	34484.73561	273.682671	148.265184	9128.842528	251.385719	34.949266	1.088696176	49307.77632	333.990392	158.404044	23982.5242	310.463619	80.07344	1.075779484
Trial4	39538.0035	270.72211	149.994149	22399.60596	322.804746	71.397938	0.838655916	38821.19099	371.40809	111.363	19023.24391	328.336099	67.584867	1.131182624
Trial4	35870.49103	313.824326	126.694311	20397.04792	371.784765	47.555691	0.844102168	50807.91258	397.108783	145.567777	16914.13278	231.146446	66.46658	1.71799649
Trial4	14253.40041	145.368288	102.631272	12512.07339	266.059123	50.411631	0.546375882	33951.84652	326.394209	116.64689	8659.495199	242.843503	36.931094	1.344051642
Trial4	19391.93943	130.359872	165.286904	10165.78627	212.893282	42.707874	0.612324968	31815.60617	309.879327	95.130479	13136.48812	326.045012	42.28942	0.950418855
Trial4	24740.35437	263.923856	87.309411	22329.26236	404.500322	56.077075	0.65246884	33838.16414	326.40803	101.349642	14307.65506	267.797638	59.537708	1.21886075
